year,cds,county_code,district_code,school_code
20,01100170000000,01,10017,0000000
20,01100170112607,01,10017,0112607
20,01100170123968,01,10017,0123968
20,01100170124172,01,10017,0124172
20,01100170125567,01,10017,0125567
20,01100170129403,01,10017,0129403
20,01100170131581,01,10017,0131581
20,01100170136101,01,10017,0136101
20,01100170136226,01,10017,0136226
20,01100170137448,01,10017,0137448
20,01100170138867,01,10017,0138867
20,01100176001788,01,10017,6001788
20,01100176002000,01,10017,6002000
20,01611190000000,01,61119,0000000
20,01611190119222,01,61119,0119222
20,01611190122085,01,61119,0122085
20,01611190130609,01,61119,0130609
20,01611190130625,01,61119,0130625
20,01611190131805,01,61119,0131805
20,01611270000000,01,61127,0000000
20,01611430000000,01,61143,0000000
20,01611500000000,01,61150,0000000
20,01611680000000,01,61168,0000000
20,01611760000000,01,61176,0000000
20,01611760130534,01,61176,0130534
20,01611920000000,01,61192,0000000
20,01611920108670,01,61192,0108670
20,01611920119248,01,61192,0119248
20,01611920127696,01,61192,0127696
20,01611920127944,01,61192,0127944
20,01611920137646,01,61192,0137646
20,01612000000000,01,61200,0000000
20,01612180000000,01,61218,0000000
20,01612340000000,01,61234,0000000
20,01612420000000,01,61242,0000000
20,01612590000000,01,61259,0000000
20,01612590100065,01,61259,0100065
20,01612590106906,01,61259,0106906
20,01612590108944,01,61259,0108944
20,01612590109819,01,61259,0109819
20,01612590111476,01,61259,0111476
20,01612590111856,01,61259,0111856
20,01612590114363,01,61259,0114363
20,01612590114868,01,61259,0114868
20,01612590115014,01,61259,0115014
20,01612590115238,01,61259,0115238
20,01612590115386,01,61259,0115386
20,01612590115592,01,61259,0115592
20,01612590118224,01,61259,0118224
20,01612590120188,01,61259,0120188
20,01612590123711,01,61259,0123711
20,01612590126748,01,61259,0126748
20,01612590128413,01,61259,0128413
20,01612590129635,01,61259,0129635
20,01612590129932,01,61259,0129932
20,01612590130617,01,61259,0130617
20,01612590130633,01,61259,0130633
20,01612590130666,01,61259,0130666
20,01612590130732,01,61259,0130732
20,01612590131896,01,61259,0131896
20,01612590132514,01,61259,0132514
20,01612590132555,01,61259,0132555
20,01612590134015,01,61259,0134015
20,01612593030772,01,61259,3030772
20,01612596111660,01,61259,6111660
20,01612596113807,01,61259,6113807
20,01612596117568,01,61259,6117568
20,01612596117972,01,61259,6117972
20,01612596118608,01,61259,6118608
20,01612750000000,01,61275,0000000
20,01612910000000,01,61291,0000000
20,01613090000000,01,61309,0000000
20,01613090101212,01,61309,0101212
20,01613090114421,01,61309,0114421
20,01750930000000,01,75093,0000000
20,01751010000000,01,75101,0000000
20,01751190000000,01,75119,0000000
20,01771800138289,01,77180,0138289
20,02100250000000,02,10025,0000000
20,02613330000000,02,61333,0000000
20,03100330000000,03,10033,0000000
20,03739810000000,03,73981,0000000
20,04100410000000,04,10041,0000000
20,04100410114991,04,10041,0114991
20,04100410134213,04,10041,0134213
20,04100410430090,04,10041,0430090
20,04613820000000,04,61382,0000000
20,04614080000000,04,61408,0000000
20,04614240000000,04,61424,0000000
20,04614240110551,04,61424,0110551
20,04614240118042,04,61424,0118042
20,04614240120394,04,61424,0120394
20,04614240121475,04,61424,0121475
20,04614240123810,04,61424,0123810
20,04614240137828,04,61424,0137828
20,04614246113773,04,61424,6113773
20,04614246119523,04,61424,6119523
20,04614320000000,04,61432,0000000
20,04614570000000,04,61457,0000000
20,04614990000000,04,61499,0000000
20,04615070000000,04,61507,0000000
20,04615070121509,04,61507,0121509
20,04615070129577,04,61507,0129577
20,04615150000000,04,61515,0000000
20,04615230000000,04,61523,0000000
20,04615310000000,04,61531,0000000
20,04615310110338,04,61531,0110338
20,04615316112585,04,61531,6112585
20,04615316112999,04,61531,6112999
20,04615316113765,04,61531,6113765
20,04615490000000,04,61549,0000000
20,04733790000000,04,73379,0000000
20,04755070000000,04,75507,0000000
20,05100580000000,05,10058,0000000
20,05100580530154,05,10058,0530154
20,05615560000000,05,61556,0000000
20,05615640000000,05,61564,0000000
20,05615720000000,05,61572,0000000
20,05615800000000,05,61580,0000000
20,06100660000000,06,10066,0000000
20,06615980000000,06,61598,0000000
20,06616060000000,06,61606,0000000
20,06616140000000,06,61614,0000000
20,06616220000000,06,61622,0000000
20,07100740000000,07,10074,0000000
20,07100740114470,07,10074,0114470
20,07100740129528,07,10074,0129528
20,07100740129684,07,10074,0129684
20,07100740134114,07,10074,0134114
20,07100740137026,07,10074,0137026
20,07100740730614,07,10074,0730614
20,07100740731380,07,10074,0731380
20,07616300000000,07,61630,0000000
20,07616480000000,07,61648,0000000
20,07616480115063,07,61648,0115063
20,07616480137430,07,61648,0137430
20,07616486115703,07,61648,6115703
20,07616550000000,07,61655,0000000
20,07616630000000,07,61663,0000000
