year,district_code,district_name
21,64212,ABC Unified
21,61630,Acalanes Union High
21,66761,Ackerman Charter
21,75309,Acton-Agua Dulce Unified
21,67587,Adelanto Elementary
21,10017,Alameda County Office of Education
21,61119,Alameda Unified
21,61127,Albany City Unified
21,70599,Alexander Valley Union Elementary
21,75713,Alhambra Unified
21,65961,Alisal Union
21,71795,Allensworth Elementary
21,71803,Alpaugh Unified
21,10025,Alpine County Office of Education
21,61333,Alpine County Unified
21,67967,Alpine Union Elementary
21,67595,Alta Loma Elementary
21,71811,Alta Vista Elementary
21,66779,Alta-Dutch Flat Union Elementary
21,69369,Alum Rock Union Elementary
21,65177,Alview-Dairyland Union Elementary
21,61994,Alvina Elementary
21,66977,Alvord Unified
21,10033,Amador County Office of Education
21,73981,Amador County Unified
21,66423,Anaheim Elementary
21,66431,Anaheim Union High
21,69856,Anderson Union High
21,65540,Anderson Valley Unified
21,71472,Antelope Elementary
21,64246,Antelope Valley Union High
21,61648,Antioch Unified
21,75077,Apple Valley Unified
21,64261,Arcadia Unified
21,62679,Arcata Elementary
21,67280,Arcohe Union Elementary
21,65557,Arena Union Elementary
21,63875,Armona Union Elementary
21,75259,Aromas - San Juan Unified
21,63313,Arvin Union
21,68700,Atascadero Unified
21,65631,Atwater Elementary
21,66787,Auburn Union Elementary
21,64279,Azusa Unified
21,73858,Baker Valley Unified
21,63321,Bakersfield City
21,64287,Baldwin Park Unified
21,69104,Ballard Elementary
21,65649,Ballico-Cressey Elementary
21,61382,Bangor Union Elementary
21,66985,Banning Unified
21,68486,Banta Elementary
21,67611,Barstow Unified
21,65185,Bass Lake Joint Union Elementary
21,64295,Bassett Unified
21,68858,Bayshore Elementary
21,67637,Bear Valley Unified
21,63339,Beardsley Elementary
21,66993,Beaumont Unified
21,69872,Bella Vista Elementary
21,72306,Belleview Elementary
21,70615,Bellevue Union
21,64303,Bellflower Unified
21,68866,Belmont-Redwood Shores Elementary
21,63347,Belridge Elementary
21,70524,Benicia Unified
21,70623,Bennett Valley Union Elementary
21,61143,Berkeley Unified
21,69377,Berryessa Union Elementary
21,64311,Beverly Hills Unified
21,62026,Big Creek Elementary
21,62695,Big Lagoon Union Elementary
21,75184,Big Oak Flat-Groveland Unified
21,63248,Big Pine Unified
21,70185,Big Springs Union Elementary
21,75150,Big Sur Unified
21,64089,Big Valley Joint Unified
21,61408,Biggs Unified
21,76687,Bishop Unified
21,67454,Bitterwater-Tully Elementary
21,69880,Black Butte Union Elementary
21,73783,Black Oak Mine Unified
21,63354,Blake Elementary
21,69112,Blochman Union Elementary
21,62703,Blue Lake Union Elementary
21,70193,Bogus Elementary
21,65300,Bolinas-Stinson Union
21,64329,Bonita Unified
21,69732,Bonny Doon Union Elementary
21,76851,Bonsall Unified
21,67983,Borrego Springs Unified
21,65979,Bradley Union Elementary
