year,school_code,school_name
23,100016,Sherman Thomas Charter
23,100065,Oakland Unity High
23,100156,Lemoore University Elementary Charter
23,100289,N.E.W. Academy of Science and Arts
23,100354,Hawthorne Math and Science Academy
23,100388,Tierra Pacifica Charter
23,100602,"Lennox Mathematics, Science and Technology Academy"
23,100669,Stella Middle Charter Academy
23,100677,High Tech LA
23,100743,Accelerated Charter Elementary
23,100750,Wallis Annenberg High
23,100776,North Valley Military Institute College Preparatory Academy
23,100800,Central City Value
23,100867,KIPP Los Angeles College Preparatory
23,101048,St. HOPE Public School 7
23,101170,California Military Institute
23,101196,ICEF View Park Preparatory High
23,101204,High Tech Middle
23,101212,KIPP Summit Academy
23,101295,Sol Aureus College Preparatory
23,101337,KIPP Bayview Academy
23,101345,KIPP Adelante Preparatory Academy
23,101352,KIPP San Francisco Bay Academy
23,101360,Integrity Charter
23,101444,KIPP Academy of Opportunity
23,101477,Leadership Public Schools: Richmond
23,101535,Heritage K-8 Charter
23,101626,Edward B. Cole Academy
23,101659,"CATCH Prep Charter High, Inc."
23,101667,Wilder's Preparatory Academy Charter
23,101675,Oscar De La Hoya Animo Charter High
23,101683,Renaissance Arts Academy
23,101717,Crossroads Charter Academy
23,101725,Grizzly ChalleNGe Charter
23,101766,Community Outreach Academy
23,101774,Five Keys Charter (SF Sheriff's)
23,101832,Futures High
23,101881,New Technology High
23,101899,George Washington Carver School of Arts and Science
23,101907,The MET
23,101923,Roseland Charter
23,101956,Aspire Benjamin Holt College Preparatory Academy
23,102038,Sacramento Charter High
23,102335,Ocean Charter
23,102343,Aspire Capitol Heights Academy
23,102384,Primary Charter
23,102392,Millennium Charter
23,102426,PUC Milagro Charter
23,102434,Animo South Los Angeles Charter
23,102442,PUC Lakeview Charter Academy
23,102483,N.E.W. Academy Canoga Park
23,102491,Dr. Theodore T. Alexander Jr. Science Center
23,102525,Spring Lake Charter
23,102533,Santa Rosa Accelerated Charter
23,102541,New Designs Charter
23,105866,Woodland Star Charter
23,105890,Mark West Charter
23,106005,Village
23,106013,University Preparatory
23,106120,SIATech
23,106344,Northwest Prep Charter
23,106351,Ivy Academia
23,106427,Synergy Charter Academy
