year,cds,county_code,district_code,school_code
22,01100170130419,01,10017,0130419
22,01100170130401,01,10017,0130401
22,01100170130625,01,10017,0130625
22,01100170137448,01,10017,0137448
22,01100170123968,01,10017,0123968
22,01100170136101,01,10017,0136101
22,01100176001788,01,10017,6001788
22,01100170112607,01,10017,0112607
22,01100170138867,01,10017,0138867
22,01100176002000,01,10017,6002000
22,01100170131581,01,10017,0131581
22,01100170136226,01,10017,0136226
22,01100170125567,01,10017,0125567
22,01100170124172,01,10017,0124172
22,01611190130609,01,61119,0130609
22,01611190130229,01,61119,0130229
22,01611190106401,01,61119,0106401
22,01611196100374,01,61119,6100374
22,01611196110779,01,61119,6110779
22,01611196090013,01,61119,6090013
22,01611190132142,01,61119,0132142
22,01611196090021,01,61119,6090021
22,01611196090039,01,61119,6090039
22,01611190134304,01,61119,0134304
22,01611196090054,01,61119,6090054
22,01611196090047,01,61119,6090047
22,01611190139220,01,61119,0139220
22,01611190119222,01,61119,0119222
22,01611190000001,01,61119,0000001
22,01611190111765,01,61119,0111765
22,01611190122085,01,61119,0122085
22,01611190131805,01,61119,0131805
22,01611196090112,01,61119,6090112
22,01611196090120,01,61119,6090120
22,01611270130450,01,61127,0130450
22,01611276090161,01,61127,6090161
22,01611276090146,01,61127,6090146
22,01611270130294,01,61127,0130294
22,01611276095376,01,61127,6095376
22,01611270000001,01,61127,0000001
22,01611276116222,01,61127,6116222
22,01611436097729,01,61143,6097729
22,01611430131177,01,61143,0131177
22,01611430134924,01,61143,0134924
22,01611436090195,01,61143,6090195
22,01611436090211,01,61143,6090211
22,01611436105316,01,61143,6105316
22,01611436090294,01,61143,6090294
22,01611436090286,01,61143,6090286
22,01611436056857,01,61143,6056857
22,01611430000001,01,61143,0000001
22,01611436090302,01,61143,6090302
22,01611436090187,01,61143,6090187
22,01611436090252,01,61143,6090252
22,01611436090278,01,61143,6090278
22,01611436090310,01,61143,6090310
22,01611436090328,01,61143,6090328
22,01611436056865,01,61143,6056865
22,01611506097653,01,61150,6097653
22,01611506090351,01,61150,6090351
22,01611500132225,01,61150,0132225
22,01611500133876,01,61150,0133876
22,01611506090369,01,61150,6090369
