year,school_code,school_name
22,1,"Nonpublic, Nonsectarian Schools"
22,100016,Sherman Thomas Charter
22,100024,Oak Meadow Elementary
22,100040,Robert L. McCaffrey Middle
22,100057,Plumas County Community
22,100065,Oakland Unity High
22,100081,William J. (Pete) Knight High
22,100107,Vista Grande Elementary
22,100115,Montera Elementary
22,100156,Lemoore University Elementary Charter
22,100164,Dr. Reynaldo J. Carreon Jr. Academy
22,100180,Mountain Oaks High
22,100198,Golden Valley High
22,100206,George W. Bush Elementary
22,100248,Las Palmitas Elementary
22,100255,Desert Mirage High
22,100263,Toro Canyon Middle
22,100289,N.E.W. Academy of Science and Arts
22,100347,Almond Elementary
22,100354,Hawthorne Math and Science Academy
22,100362,Thurgood Marshall Elementary
22,100388,Tierra Pacifica Charter
22,100404,Sandra J. Gallardo Elementary
22,100412,Monte Vista Elementary
22,100420,Vista Murrieta High
22,100461,Lone Tree Elementary
22,100479,Dallas Ranch Middle
22,100487,Norwood Junior High
22,100495,Los Tules Middle
22,100503,Freedom Crest Elementary
22,100511,Lilac
22,100529,Cesar E. Chavez High
22,100537,Andros Karperos
22,100545,Lake Mathews Elementary
22,100560,Lois E. Borchardt Elementary
22,100578,Edwin Rhodes Elementary
22,100586,Michael G. Wickman Elementary
22,100594,Liberty Elementary
22,100602,"Lennox Mathematics, Science and Technology Academy"
22,100610,Dolores Huerta Elementary
22,100636,Pico Canyon Elementary
22,100644,Dr. J. Michael McGrath Elementary
22,100651,Mission Valley
22,100669,Stella Middle Charter Academy
22,100677,High Tech LA
22,100685,Valle Verde Elementary
22,100701,MetWest High
22,100735,Canyon Vista Elementary
22,100743,Accelerated Charter Elementary
22,100750,Wallis Annenberg High
22,100776,North Valley Military Institute College Preparatory Academy
22,100792,Think College Now Elementary
22,100800,Central City Value
22,100867,KIPP Los Angeles College Preparatory
22,100883,Vista del Mar Elementary
22,100891,Vista del Mar Middle
22,100909,Ladera Ranch Elementary
22,100917,Ladera Ranch Middle
22,100925,T.H.E Leadership Academy
22,100933,Hannalei Elementary
22,100941,Lakeside Middle
22,100958,Sierra Vista Elementary
22,100966,El Cerrito Middle
22,100974,Clara Barton Elementary
22,100982,Temescal Valley Elementary
22,100990,Solorsano Middle
22,101006,Sundance Elementary
22,101014,McKee Middle
22,101022,Rio Norte Junior High
22,101030,Fox Road Elementary
22,101048,St. HOPE Public School 7
22,101097,French Valley Elementary
22,101105,Erle Stanley Gardner Middle
22,101113,Columbia-East Valley K-6 Community Day
22,101121,McSweeny Elementary
22,101139,Harmony Elementary
