year,district_code,district_name
23,64212,ABC Unified
23,61630,Acalanes Union High
23,66761,Ackerman Charter
23,75309,Acton-Agua Dulce Unified
23,67587,Adelanto Elementary
23,10017,Alameda County Office of Education
23,61119,Alameda Unified
23,61127,Albany City Unified
23,70599,Alexander Valley Union Elementary
23,75713,Alhambra Unified
23,65961,Alisal Union
23,71795,Allensworth Elementary
23,71803,Alpaugh Unified
23,10025,Alpine County Office of Education
23,61333,Alpine County Unified
23,67967,Alpine Union Elementary
23,67595,Alta Loma Elementary
23,71811,Alta Vista Elementary
23,66779,Alta-Dutch Flat Union Elementary
23,69369,Alum Rock Union Elementary
23,65177,Alview-Dairyland Union Elementary
23,61994,Alvina Elementary
23,66977,Alvord Unified
23,10033,Amador County Office of Education
23,73981,Amador County Unified
23,66423,Anaheim Elementary
23,66431,Anaheim Union High
23,69856,Anderson Union High
23,65540,Anderson Valley Unified
23,71472,Antelope Elementary
23,64246,Antelope Valley Union High
23,61648,Antioch Unified
23,75077,Apple Valley Unified
23,64261,Arcadia Unified
23,62679,Arcata Elementary
23,67280,Arcohe Union Elementary
23,65557,Arena Union Elementary
23,63875,Armona Union Elementary
23,75259,Aromas - San Juan Unified
23,63313,Arvin Union
23,68700,Atascadero Unified
23,65631,Atwater Elementary
23,66787,Auburn Union Elementary
23,64279,Azusa Unified
23,73858,Baker Valley Unified
23,63321,Bakersfield City
23,64287,Baldwin Park Unified
23,69104,Ballard Elementary
23,65649,Ballico-Cressey Elementary
23,61382,Bangor Union Elementary
23,66985,Banning Unified
23,77388,Banta Unified
23,67611,Barstow Unified
23,65185,Bass Lake Joint Union Elementary
23,64295,Bassett Unified
23,68858,Bayshore Elementary
23,67637,Bear Valley Unified
23,63339,Beardsley Elementary
23,66993,Beaumont Unified
23,69872,Bella Vista Elementary
23,72306,Belleview Elementary
23,70615,Bellevue Union
23,64303,Bellflower Unified
23,68866,Belmont-Redwood Shores Elementary
23,70524,Benicia Unified
23,70623,Bennett Valley Union Elementary
23,61143,Berkeley Unified
23,69377,Berryessa Union Elementary
23,64311,Beverly Hills Unified
23,62026,Big Creek Elementary
23,62695,Big Lagoon Union Elementary
23,75184,Big Oak Flat-Groveland Unified
23,63248,Big Pine Unified
23,70185,Big Springs Union Elementary
23,75150,Big Sur Unified
23,64089,Big Valley Joint Unified
23,61408,Biggs Unified
23,76687,Bishop Unified
23,67454,Bitterwater-Tully Elementary
23,69880,Black Butte Union Elementary
23,73783,Black Oak Mine Unified
23,63354,Blake Elementary
23,69112,Blochman Union Elementary
23,62703,Blue Lake Union Elementary
23,70193,Bogus Elementary
23,65300,Bolinas-Stinson Union
23,64329,Bonita Unified
23,69732,Bonny Doon Union Elementary
23,76851,Bonsall Unified
23,67983,Borrego Springs Unified
23,65979,Bradley Union Elementary
23,63073,Brawley Elementary
23,63081,Brawley Union High
23,66449,Brea-Olinda Unified
23,61655,Brentwood Union Elementary
23,61556,Bret Harte Union High
23,62729,Bridgeville Elementary
23,72447,Briggs Elementary
23,68874,Brisbane Elementary
23,71357,Brittan Elementary
23,71365,Browns Elementary
23,61838,Buckeye Union Elementary
23,69138,Buellton Union Elementary
23,66456,Buena Park Elementary
23,71829,Buena Vista Elementary
23,64337,Burbank Unified
23,68882,Burlingame Elementary
23,71662,Burnt Ranch Elementary
23,62042,Burrel Union Elementary
23,71837,Burton Elementary
23,10041,Butte County Office of Education
23,73684,Butte Valley Unified
23,70201,Butteville Union Elementary
23,63370,Buttonwillow Union Elementary
23,61663,Byron Union Elementary
23,68890,Cabrillo Unified
23,67991,Cajon Valley Union
23,10058,Calaveras County Office of Education
23,61564,Calaveras Unified
23,63099,Calexico Unified
23,63388,Caliente Union Elementary
23,63107,Calipatria Unified
23,66241,Calistoga Joint Unified
23,69385,Cambrian
23,61846,Camino Union Elementary
23,69393,Campbell Union
23,69401,Campbell Union High
23,72728,Camptonville Elementary
23,61671,Canyon Elementary
23,62554,Capay Joint Union Elementary
23,66464,Capistrano Unified
23,68007,Cardiff Elementary
23,73551,Carlsbad Unified
23,65987,Carmel Unified
23,69146,Carpinteria Unified
23,75598,Caruthers Unified
23,69914,Cascade Union Elementary
23,64345,Castaic Union
23,69922,Castle Rock Union Elementary
23,61150,Castro Valley Unified
23,68726,Cayucos Elementary
23,73973,Center Joint Unified
23,64352,Centinela Valley Union High
23,67645,Central Elementary
23,73965,Central Unified
23,63883,Central Union Elementary
23,63115,Central Union High
23,66472,Centralia Elementary
23,71043,Ceres Unified
23,67652,Chaffey Joint Union High
23,64378,Charter Oak Unified
23,71050,Chatom Union
23,75606,Chawanakee Unified
23,66316,Chicago Park Elementary
23,61424,Chico Unified
23,67678,Chino Valley Unified
23,65193,Chowchilla Elementary
23,65201,Chowchilla Union High
23,65995,Chualar Union
23,68023,Chula Vista Elementary
23,67462,Cienega Union Elementary
23,70649,Cinnabar Elementary
23,64394,Claremont Unified
23,62109,Clay Joint Elementary
23,66324,Clear Creek Elementary
23,70656,Cloverdale Unified
23,62117,Clovis Unified
23,73676,Coachella Valley Unified
23,62125,Coalinga-Huron Unified
23,75465,Coast Unified
23,71670,Coffee Creek Elementary
23,69161,Cold Spring Elementary
23,66795,Colfax Elementary
23,69179,College Elementary
23,67686,Colton Joint Unified
23,69948,Columbia Elementary
23,72348,Columbia Union
23,71852,Columbine Elementary
23,10066,Colusa County Office of Education
23,61598,Colusa Unified
23,73437,Compton Unified
23,73759,Conejo Valley Unified
23,10074,Contra Costa County Office of Education
23,63891,Corcoran Joint Unified
23,71498,Corning Union Elementary
23,71506,Corning Union High
23,67033,Corona-Norco Unified
23,68031,Coronado Unified
23,73882,Cotati-Rohnert Park Unified
23,69955,Cottonwood Union Elementary
23,64436,Covina-Valley Unified
23,67694,Cucamonga Elementary
23,62737,Cuddeback Union Elementary
23,64444,Culver City Unified
23,69419,Cupertino Union
23,72355,Curtis Creek Elementary
23,71860,Cutler-Orosi Joint Unified
23,62745,Cutten Elementary
23,75010,Cuyama Joint Unified
23,66480,Cypress Elementary
23,72678,Davis Joint Unified
23,63271,Death Valley Unified
23,68049,Dehesa Elementary
23,68056,Del Mar Union Elementary
23,10082,Del Norte County Office of Education
23,61820,Del Norte County Unified
23,63412,Delano Joint Union High
23,63404,Delano Union Elementary
23,75366,Delhi Unified
23,70227,Delphic Elementary
23,71068,Denair Unified
23,67041,Desert Center Unified
23,67058,Desert Sands Unified
23,63420,Di Giorgio Elementary
23,75531,Dinuba Unified
23,70532,Dixon Unified
23,75317,Dos Palos Oro Loma Joint Unified
23,71696,Douglas City Elementary
23,64451,Downey Unified
23,66803,Dry Creek Joint Elementary
23,64469,Duarte Unified
23,75093,Dublin Unified
23,71894,Ducor Union Elementary
23,70672,Dunham Elementary
23,70243,Dunsmuir Elementary
23,70250,Dunsmuir Joint Union High
23,61432,Durham Unified
23,71902,Earlimart Elementary
23,71373,East Nicolaus Joint Union High
23,69427,East Side Union High
23,64485,East Whittier City Elementary
23,73668,Eastern Sierra Unified
23,64477,Eastside Union Elementary
23,63438,Edison Elementary
23,63123,El Centro Elementary
23,10090,El Dorado County Office of Education
23,61853,El Dorado Union High
23,64501,El Monte City
23,64519,El Monte Union High
23,65680,El Nido Elementary
23,64527,El Rancho Unified
23,64535,El Segundo Unified
23,75168,El Tejon Unified
23,67314,Elk Grove Unified
23,63446,Elk Hills Elementary
23,67322,Elverta Joint Elementary
23,61168,Emery Unified
23,71076,Empire Union Elementary
23,68080,Encinitas Union Elementary
23,69971,Enterprise Elementary
23,68502,Escalon Unified
23,68098,Escondido Union
23,68106,Escondido Union High
23,72686,Esparto Unified
23,67702,Etiwanda Elementary
23,75515,Eureka City Schools
23,66829,Eureka Union
23,69435,Evergreen Elementary
23,71522,Evergreen Union
23,76836,Exeter Unified
23,63461,Fairfax Elementary
23,70540,Fairfield-Suisun Unified
23,69989,Fall River Joint Unified
23,68114,Fallbrook Union Elementary
23,68122,Fallbrook Union High
23,75325,Farmersville Unified
23,75374,Ferndale Unified
23,62794,Fieldbrook Elementary
23,72454,Fillmore Unified
23,73809,Firebaugh-Las Deltas Unified
