year,school_type,school_type_num
21,Alternative Schools of Choice,1
21,Continuation High Schools,2
21,County Community,3
21,District Community Day Schools,4
21,Elemen Schools In 1 School Dist. (Public),5
21,Elementary Schools (Public),6
21,High Schools (Public),7
21,High Schools In 1 School Dist. (Public),8
21,Intermediate/Middle Schools (Public),9
21,Junior High Schools (Public),10
21,Juvenile Court Schools,11
21,K-12 Schools (Public),12
21,Opportunity Schools,13
21,Special Education Schools (Public),14
21,Preschool,15
