year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,01,10017,0112607,0811,412,276,4,0,0,170,295,70,308,1,7,10,,1,1,6,12,1,01100170112607
20,01,10017,0123968,1284,261,203,2,0,0,137,223,120,234,1,6,10,,1,1,14,8,1,01100170123968
20,01,10017,0124172,1296,487,77,0,0,0,52,77,33,96,1,6,10,,1,1,14,8,1,01100170124172
20,01,10017,0125567,1383,393,81,0,3,0,85,132,71,165,1,6,10,,1,1,14,8,1,01100170125567
20,01,10017,0129403,1632,246,196,3,0,0,113,199,113,223,1,9,10,,1,1,6,8,1,01100170129403
20,01,10017,0130401,,73,0,15,13,0,34,48,9,73,0,11,7,,,0,14,12,1,01100170130401
20,01,10017,0130419,,141,73,5,2,0,84,123,35,126,0,3,4,,,0,14,12,1,01100170130419
20,01,10017,0131581,1707,170,146,1,0,0,73,146,72,153,1,9,10,,1,1,6,8,1,01100170131581
20,01,10017,0136101,1881,416,88,1,1,0,50,105,16,116,1,12,10,,1,1,14,12,1,01100170136101
20,01,10017,0136226,1888,125,0,6,0,0,32,36,14,49,1,3,4,,2,0,10,12,1,01100170136226
20,01,10017,0137448,1908,112,88,0,8,0,52,93,26,95,1,10,10,,1,1,6,8,1,01100170137448
20,01,10017,0138867,2027,89,62,0,0,0,21,63,32,66,1,6,10,,1,1,14,6,1,01100170138867
20,01,10017,6001788,0740,585,468,1,8,0,283,480,260,522,1,6,10,,1,1,15,5,1,01100176001788
20,01,10017,6002000,1464,481,342,2,5,6,186,379,225,418,1,6,10,,1,1,14,8,1,01100176002000
20,01,61119,0000001,,37,4,2,0,0,9,10,3,11,,,,,,,,,1,01611190000001
20,01,61119,0106401,,185,59,0,1,0,47,59,11,61,0,1,1,7,,0,9,12,1,01611190106401
20,01,61119,0111765,,471,266,2,11,0,193,275,124,307,0,6,10,7,,0,14,5,1,01611190111765
20,01,61119,0119222,1066,610,211,1,16,0,146,238,92,275,1,12,10,,1,1,14,12,1,01611190119222
20,01,61119,0122085,1181,476,246,0,6,0,127,246,59,255,1,9,10,7,1,1,6,8,1,01611190122085
20,01,61119,0130229,,1777,340,2,6,0,264,355,113,408,0,7,10,7,,0,9,12,1,01611190130229
20,01,61119,0130609,0352,358,85,1,7,0,76,111,40,127,1,12,10,7,1,1,6,12,1,01611190130609
20,01,61119,0130625,0398,171,159,1,1,0,61,160,97,165,1,7,10,,1,1,9,12,1,01611190130625
20,01,61119,0131805,1718,298,140,0,1,0,53,140,46,153,1,6,10,,1,1,14,5,1,01611190131805
20,01,61119,0132142,,1225,468,4,5,0,321,472,140,532,0,12,10,,,0,6,12,1,01611190132142
20,01,61119,0134304,,84,45,0,5,0,38,45,12,47,0,2,3,7,,0,9,12,1,01611190134304
20,01,61119,0139220,,449,110,0,1,0,75,111,47,136,0,6,10,,,0,14,5,1,01611190139220
20,01,61119,6090013,,467,54,0,1,0,39,54,45,76,0,6,10,7,,0,14,5,1,01611196090013
20,01,61119,6090021,,638,93,0,0,0,73,93,67,137,0,6,10,7,,0,14,5,1,01611196090021
20,01,61119,6090039,,320,46,0,0,0,39,48,35,65,0,6,10,7,,0,14,5,1,01611196090039
20,01,61119,6090047,,550,222,1,4,0,162,226,134,275,0,6,10,7,,0,14,5,1,01611196090047
20,01,61119,6090054,,881,126,0,1,0,90,128,58,161,0,9,10,7,,0,6,8,1,01611196090054
20,01,61119,6090112,,609,251,3,8,0,183,253,115,298,0,9,10,7,,0,6,8,1,01611196090112
20,01,61119,6090120,,421,171,0,3,0,120,172,96,203,0,6,10,7,,0,14,5,1,01611196090120
20,01,61119,6100374,,652,59,0,2,0,41,62,76,122,0,6,10,7,,0,14,5,1,01611196100374
20,01,61119,6110779,,606,56,0,0,0,41,59,45,97,0,6,10,7,,0,14,8,1,01611196110779
20,01,61127,0000001,,11,0,0,0,0,1,1,1,1,,,,,,,,,1,01611270000001
20,01,61127,0130294,,3,1,0,0,0,1,1,0,1,0,2,3,,,0,10,12,1,01611270130294
20,01,61127,0130450,,1157,156,0,2,0,106,173,75,215,0,7,10,7,,0,9,12,1,01611270130450
20,01,61127,6090146,,534,59,0,0,0,42,63,93,130,0,6,10,7,,0,14,5,1,01611276090146
20,01,61127,6090161,,849,137,0,1,0,102,150,91,206,0,9,10,7,,0,6,8,1,01611276090161
20,01,61127,6095376,,505,83,0,1,0,56,86,103,156,0,6,10,7,,0,14,5,1,01611276095376
20,01,61127,6116222,,527,154,1,1,0,114,161,144,251,0,6,10,7,,0,14,5,1,01611276116222
20,01,61143,0000001,,43,2,1,2,0,11,12,4,16,,,,,,,,,1,01611430000001
20,01,61143,0131177,,3255,771,9,76,0,501,796,185,887,0,7,10,7,,0,9,12,1,01611430131177
20,01,61143,0134924,,53,35,1,8,0,27,38,5,38,0,2,3,7,,0,10,12,1,01611430134924
20,01,61143,6056857,,983,225,1,23,0,123,229,65,250,0,9,10,7,,0,6,8,1,01611436056857
20,01,61143,6056865,,701,203,1,17,0,108,206,38,219,0,9,10,7,,0,6,8,1,01611436056865
20,01,61143,6090187,,451,83,0,5,0,55,84,32,96,0,6,10,7,,0,14,5,1,01611436090187
20,01,61143,6090195,,356,98,2,12,0,63,99,22,109,0,6,10,7,,0,14,5,1,01611436090195
20,01,61143,6090211,,317,89,1,9,0,59,89,24,96,0,6,10,7,,0,14,5,1,01611436090211
20,01,61143,6090252,,443,93,0,7,0,63,93,32,106,0,6,10,7,,0,14,5,1,01611436090252
20,01,61143,6090278,,385,107,0,8,0,64,109,63,136,0,6,10,7,,0,14,5,1,01611436090278
20,01,61143,6090286,,552,153,2,11,0,101,155,31,165,0,6,10,7,,0,14,5,1,01611436090286
20,01,61143,6090294,,503,267,1,16,0,150,270,91,296,0,9,10,7,,0,6,8,1,01611436090294
20,01,61143,6090302,,263,80,0,6,0,40,80,25,89,0,6,10,7,,0,14,5,1,01611436090302
20,01,61143,6090310,,390,118,1,5,0,63,118,72,148,0,6,10,7,,0,14,5,1,01611436090310
20,01,61143,6090328,,425,88,0,6,0,60,90,64,129,0,6,10,7,,0,14,5,1,01611436090328
20,01,61143,6097729,,408,111,1,4,0,73,112,31,128,0,6,10,7,,0,14,5,1,01611436097729
20,01,61143,6105316,,316,92,0,6,0,64,93,29,112,0,6,10,7,,0,14,5,1,01611436105316
20,01,61150,0000001,,15,7,1,1,0,4,7,1,8,,,,,,,,,1,01611500000001
