year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
22,01,10017,0130625,0398,150,107,0,0,8,0,63,134,93,142,,7,10,,1,1,9,12,1,01100170130625
22,01,10017,0137448,1908,164,147,1,0,1,0,84,148,51,150,,10,10,,1,1,6,8,1,01100170137448
22,01,10017,0123968,1284,202,163,0,0,1,0,106,177,100,185,,6,10,,1,1,14,8,1,01100170123968
22,01,10017,0136101,1881,514,101,0,0,6,0,93,124,11,130,,12,10,,1,1,14,12,1,01100170136101
22,01,10017,6001788,0740,516,269,3,0,2,0,255,360,268,421,,6,10,,1,1,15,5,1,01100176001788
22,01,10017,0112607,0811,411,263,3,0,0,0,156,288,77,301,,12,10,,1,1,4,12,1,01100170112607
22,01,10017,0138867,2027,141,92,0,0,0,0,35,93,45,102,,6,10,,1,1,14,6,1,01100170138867
22,01,10017,6002000,1464,469,234,0,0,2,0,203,307,247,361,,6,10,,1,1,14,8,1,01100176002000
22,01,10017,0131581,1707,108,80,0,0,0,0,50,90,41,94,,9,10,,1,1,6,8,1,01100170131581
22,01,10017,0136226,1888,186,1,9,0,2,0,63,71,33,95,,3,4,,2,0,10,12,1,01100170136226
22,01,10017,0125567,1383,345,24,0,0,2,0,77,92,53,120,,6,10,,1,1,14,8,1,01100170125567
22,01,10017,0124172,1296,670,154,0,0,1,0,109,155,95,208,,6,10,,1,1,14,8,1,01100170124172
22,01,10017,0000000,,121,24,9,0,16,0,61,88,29,113,,16,,,,,,,1,01100170000000
22,01,61119,0130609,0352,356,57,0,0,3,0,92,98,58,129,,12,10,,1,1,6,12,1,01611190130609
22,01,61119,0119222,1066,535,125,0,0,7,0,173,193,85,224,,12,10,,1,1,14,12,1,01611190119222
22,01,61119,0122085,1181,370,211,1,0,1,0,133,212,67,228,,9,10,,1,1,6,8,1,01611190122085
22,01,61119,0131805,1718,278,136,1,0,0,0,81,137,48,150,,6,10,,1,1,14,5,1,01611190131805
22,01,61119,0000000,,8706,1994,11,0,48,0,1718,2057,810,2448,,16,,,,,,,1,01611190000000
22,01,61127,0000000,,3514,845,2,0,10,0,506,941,451,1186,,16,,,,,,,1,01611270000000
22,01,61143,0000000,,9177,2716,14,0,159,0,1681,2757,640,2976,,16,,,,,,,1,01611430000000
22,01,61150,0000000,,9031,1869,12,0,77,0,1477,1948,1145,2618,,16,,,,,,,1,01611500000000
22,01,61168,0000000,,609,526,1,0,2,0,302,532,117,539,,16,,,,,,,1,01611680000000
22,01,61176,0130534,0152,401,166,1,0,2,0,119,171,54,192,,12,10,,2,0,14,12,1,01611760130534
22,01,61176,0000000,,33471,5919,23,0,169,44,4334,6031,4758,9008,,16,,,,,,,1,01611760000000
22,01,61192,0127944,1543,488,166,3,0,0,1,91,175,66,203,,12,10,7,1,1,1,12,1,01611920127944
22,01,61192,0137646,0836,826,481,0,0,0,0,235,496,134,531,,12,10,,1,1,6,12,1,01611920137646
22,01,61192,0127696,1514,561,381,1,0,0,0,236,395,225,443,,6,10,7,1,1,14,8,1,01611920127696
22,01,61192,0108670,0684,596,268,0,0,0,0,168,269,62,296,,7,10,,1,1,9,12,1,01611920108670
22,01,61192,0000000,,18075,9703,47,0,188,395,6932,10006,5528,11942,,16,,,,,,,1,01611920000000
22,01,61200,0000000,,12991,2652,18,0,91,138,2000,2764,1329,3255,,16,,,,,,,1,01612000000000
22,01,61218,0000000,,20,16,0,0,0,0,10,17,6,17,,16,,,,,,,1,01612180000000
22,01,61234,0000000,,5167,2230,15,0,206,48,1277,2278,1062,2651,,16,,,,,,,1,01612340000000
22,01,61242,0000000,,10400,4246,7,0,145,118,2436,4523,2003,5327,,16,,,,,,,1,01612420000000
22,01,61259,0111476,0780,545,382,0,0,4,0,239,421,407,480,,6,10,,1,1,14,5,1,01612590111476
22,01,61259,0111856,0765,446,254,0,0,0,0,259,269,85,298,,7,10,,1,1,9,12,1,01612590111856
22,01,61259,6113807,0106,235,115,0,0,0,0,126,132,69,155,,10,10,,1,1,6,8,1,01612596113807
22,01,61259,0114363,0882,643,381,0,0,0,0,356,406,216,467,,6,10,,1,1,14,8,1,01612590114363
22,01,61259,0115238,0837,404,290,1,0,0,0,178,333,127,354,,7,10,,1,1,9,12,1,01612590115238
22,01,61259,6118608,1443,496,270,0,0,0,0,199,336,308,404,,6,10,,1,1,14,8,1,01612596118608
22,01,61259,0109819,0726,539,350,3,0,0,0,256,351,77,370,,6,10,,1,1,14,8,1,01612590109819
22,01,61259,0128413,1577,233,181,0,0,0,0,119,181,87,199,,6,10,,1,1,14,5,1,01612590128413
22,01,61259,0118224,1023,561,343,1,0,2,0,258,360,143,402,,12,10,,1,1,6,12,1,01612590118224
22,01,61259,0130666,0465,483,367,1,0,7,0,180,375,128,403,,12,10,,1,1,6,12,1,01612590130666
22,01,61259,6117568,0252,403,326,0,0,2,0,176,330,221,358,,6,10,,1,1,14,5,1,01612596117568
22,01,61259,0130732,1663,256,223,0,0,8,0,147,224,51,226,,6,10,,1,1,14,5,1,01612590130732
22,01,61259,0106906,0661,339,217,2,0,21,0,158,224,93,258,,12,10,,1,1,6,12,1,01612590106906
22,01,61259,0129635,1661,271,45,0,0,3,0,151,190,58,201,,9,10,,1,1,6,8,1,01612590129635
22,01,61259,0129932,1620,563,185,0,0,0,0,129,202,42,217,,12,10,,1,1,6,12,1,01612590129932
22,01,61259,0132514,1708,319,36,0,0,1,0,61,80,34,101,,6,10,,1,1,14,8,1,01612590132514
22,01,61259,0115014,0938,537,450,1,0,15,0,319,451,148,458,,6,10,,1,1,14,8,1,01612590115014
22,01,61259,0115592,1442,378,176,2,0,5,0,174,262,182,301,,6,10,,1,1,14,5,1,01612590115592
22,01,61259,0130633,0413,531,473,0,0,14,0,222,479,298,496,,6,10,,1,1,14,8,1,01612590130633
22,01,61259,0108944,0700,313,284,0,0,6,0,133,285,109,291,,7,10,,1,1,9,12,1,01612590108944
22,01,61259,0134015,1783,669,569,2,0,9,0,265,574,296,598,,12,10,,1,1,14,12,1,01612590134015
22,01,61259,0126748,1449,436,403,1,0,5,0,193,404,175,420,,7,10,,1,1,9,12,1,01612590126748
22,01,61259,6117972,0302,145,20,0,0,0,0,55,70,19,75,,6,10,,1,1,14,5,1,01612596117972
22,01,61259,6111660,0014,246,47,2,0,18,0,132,181,133,225,,9,10,,1,1,6,8,1,01612596111660
22,01,61259,0114868,0883,453,131,0,0,6,0,212,337,87,365,,7,10,,1,1,9,12,1,01612590114868
22,01,61259,0130617,0349,544,362,1,0,8,0,264,374,183,427,,12,10,,1,1,6,12,1,01612590130617
22,01,61259,3030772,0340,791,158,1,0,4,0,162,180,10,185,,12,10,,1,1,6,12,1,01612593030772
22,01,61259,0100065,0510,376,314,1,0,0,0,141,329,97,341,,7,10,,1,1,9,12,1,01612590100065
22,01,61259,0000000,,34374,25811,174,0,1236,8,15395,26169,11610,26924,,16,,,,,,,1,01612590000000
22,01,61275,0000000,,2349,9,0,0,3,0,57,67,26,88,,16,,,,,,,1,01612750000000
22,01,61291,0000000,,8712,6145,31,0,97,0,3017,6193,2277,6625,,16,,,,,,,1,01612910000000
22,01,61309,0114421,0880,660,451,2,0,6,0,208,455,72,466,,7,10,,1,1,9,12,1,01613090114421
22,01,61309,0101212,0524,423,300,0,0,0,0,147,301,140,328,,9,10,,1,1,5,8,1,01613090101212
22,01,61309,0000000,,8759,6632,21,0,124,65,3385,6761,2763,7134,,16,,,,,,,1,01613090000000
22,01,75093,0000000,,12490,0,11,0,30,0,983,999,886,1689,,16,,,,,,,1,01750930000000
22,01,75101,0000000,,14075,1089,8,0,29,0,763,1111,1453,2295,,16,,,,,,,1,01751010000000
