year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,01,10017,0130419,,58,8,1,0,0,0,38,40,22,47,0,3,4,,0,14,12,1,01100170130419
24,01,10017,0130401,,44,2,13,0,11,0,26,37,6,44,0,11,7,,0,14,12,1,01100170130401
24,01,10017,0130625,0398,132,120,0,0,2,0,56,124,71,128,1,7,10,1,1,9,12,1,01100170130625
24,01,10017,0137448,1908,122,116,0,0,0,0,66,117,42,118,1,10,10,1,1,6,8,1,01100170137448
24,01,10017,0123968,1284,186,163,0,0,0,0,115,170,99,174,1,6,10,1,1,14,8,1,01100170123968
24,01,10017,0136101,1881,505,97,1,0,1,0,101,136,27,148,1,12,10,1,1,14,12,1,01100170136101
24,01,10017,6001788,0740,464,408,0,0,1,1,274,413,253,442,1,6,10,1,1,14,5,1,01100176001788
24,01,10017,0112607,0811,223,145,0,0,1,0,117,162,43,174,1,12,10,1,1,6,12,1,01100170112607
24,01,10017,0138867,2027,203,106,0,0,0,0,84,121,56,132,1,6,10,1,1,14,6,1,01100170138867
24,01,10017,6002000,1464,478,410,0,0,1,0,256,414,191,432,1,6,10,1,1,14,8,1,01100176002000
24,01,10017,0131581,1707,125,122,0,0,0,0,55,123,45,124,1,9,10,1,1,6,8,1,01100170131581
24,01,10017,0136226,1888,157,5,11,0,16,0,62,76,28,88,1,3,4,2,0,10,12,1,01100170136226
24,01,10017,0125567,1383,347,108,0,0,0,0,86,119,44,138,1,6,10,1,1,14,8,1,01100170125567
24,01,10017,0124172,1296,865,267,0,0,0,0,204,273,149,333,1,6,10,1,1,14,8,1,01100170124172
24,01,61119,0130609,0352,389,9,1,0,5,0,133,143,54,169,1,12,10,1,1,6,12,1,01611190130609
24,01,61119,0130229,,1863,605,3,0,12,0,339,612,89,629,0,7,10,,0,9,12,1,01611190130229
24,01,61119,0106401,,167,79,0,0,0,0,40,79,4,79,0,1,1,,0,9,12,1,01611190106401
24,01,61119,6100374,,573,92,0,0,2,0,35,94,47,123,0,6,10,,0,14,5,1,01611196100374
24,01,61119,6110779,,568,133,0,0,1,0,52,135,39,148,0,6,10,,0,14,8,1,01611196110779
24,01,61119,6090013,,465,106,2,0,0,0,70,108,33,113,0,6,10,,0,14,5,1,01611196090013
24,01,61119,0132142,,1218,590,1,0,23,0,351,599,77,614,0,12,10,,0,6,12,1,01611190132142
24,01,61119,6090021,,524,126,1,0,2,0,62,127,25,135,0,6,10,,0,14,5,1,01611196090021
24,01,61119,6090039,,290,66,0,0,2,0,38,67,27,72,0,6,10,,0,14,5,1,01611196090039
24,01,61119,0134304,,85,65,3,0,4,0,49,66,14,67,0,2,3,,0,9,12,1,01611190134304
24,01,61119,6090054,,922,222,0,1,0,0,96,224,21,232,0,9,10,,0,6,8,1,01611196090054
24,01,61119,6090047,,469,233,0,0,2,0,144,237,98,251,0,6,10,,0,14,5,1,01611196090047
24,01,61119,0139220,,477,197,6,0,0,0,97,197,42,205,0,6,10,,0,14,5,1,01611190139220
24,01,61119,0119222,1066,487,31,0,0,6,0,136,161,64,197,1,12,10,1,1,14,12,1,01611190119222
24,01,61119,0000001,,26,1,0,0,0,0,7,7,0,7,,,,,,,,1,01611190000001
24,01,61119,0111765,,434,286,1,0,11,0,183,296,81,314,0,6,10,,0,14,5,1,01611190111765
24,01,61119,0122085,1181,620,266,3,0,3,0,209,359,79,384,1,6,10,1,1,14,8,1,01611190122085
24,01,61119,6090112,,603,346,2,0,11,0,197,350,64,360,0,9,10,,0,6,8,1,01611196090112
24,01,61119,6090120,,377,170,3,0,7,0,107,177,48,188,0,6,10,,0,14,5,1,01611196090120
24,01,61127,0130450,,1117,279,1,0,6,0,173,340,69,358,0,7,10,,0,9,12,1,01611270130450
24,01,61127,6090161,,827,194,0,0,5,0,121,244,66,261,0,9,10,,0,6,8,1,01611276090161
24,01,61127,6090146,,551,122,0,0,2,0,82,150,92,201,0,6,10,,0,14,5,1,01611276090146
24,01,61127,0130294,,10,7,0,0,0,0,5,8,1,8,0,2,3,,0,10,12,1,01611270130294
24,01,61127,6095376,,514,106,0,0,6,0,55,129,79,164,0,6,10,,0,14,5,1,01611276095376
24,01,61127,0000001,,7,2,0,0,0,0,0,2,0,2,,,,,,,,1,01611270000001
24,01,61127,6116222,,548,205,0,0,5,0,143,245,149,311,0,6,10,,0,14,5,1,01611276116222
24,01,61143,6097729,,404,95,2,0,3,0,61,95,23,107,0,6,10,,0,14,5,1,01611436097729
24,01,61143,0131177,,3220,755,10,0,43,0,566,764,128,812,0,7,10,,0,9,12,1,01611430131177
24,01,61143,0141655,,27,9,1,0,0,0,11,12,3,13,0,1,1,,0,14,8,1,01611430141655
24,01,61143,0134924,,47,36,0,0,15,0,29,36,2,36,0,2,3,,0,10,12,1,01611430134924
24,01,61143,6090195,,294,83,0,0,5,0,43,83,19,94,0,6,10,,0,14,5,1,01611436090195
24,01,61143,6090211,,282,89,0,0,3,0,48,89,21,98,0,6,10,,0,14,5,1,01611436090211
24,01,61143,6105316,,264,83,1,0,4,0,58,84,19,88,0,6,10,,0,14,5,1,01611436105316
24,01,61143,6090294,,442,193,3,0,7,0,128,193,21,198,0,9,10,,0,6,8,1,01611436090294
24,01,61143,6090286,,460,149,3,0,13,0,109,152,34,159,0,6,10,,0,14,5,1,01611436090286
24,01,61143,6056857,,866,237,4,0,13,0,138,242,56,260,0,9,10,,0,6,8,1,01611436056857
24,01,61143,0000001,,37,4,1,0,0,0,12,14,2,16,,,,,,,,1,01611430000001
24,01,61143,6090302,,251,66,1,0,8,0,51,68,19,75,0,6,10,,0,14,5,1,01611436090302
24,01,61143,6090187,,371,114,2,0,5,0,78,115,33,124,0,6,10,,0,14,5,1,01611436090187
24,01,61143,6090252,,396,67,1,0,0,0,48,67,21,79,0,6,10,,0,14,5,1,01611436090252
24,01,61143,6090278,,386,129,0,0,11,0,72,129,88,162,0,6,10,,0,14,5,1,01611436090278
24,01,61143,6090310,,363,111,1,0,5,0,64,112,49,125,0,6,10,,0,14,5,1,01611436090310
24,01,61143,6090328,,389,102,2,0,7,0,65,103,35,118,0,6,10,,0,14,5,1,01611436090328
24,01,61143,6056865,,578,145,0,0,8,0,92,146,21,156,0,9,10,,0,6,8,1,01611436056865
24,01,61150,6097653,,1432,601,1,0,35,0,282,611,167,645,0,9,10,,0,6,8,1,01611506097653
24,01,61150,6090351,,494,273,0,0,9,0,136,275,139,317,0,6,10,,0,14,5,1,01611506090351
24,01,61150,0132225,,2842,1112,1,0,43,0,524,1124,183,1162,0,7,10,,0,9,12,1,01611500132225
24,01,61150,0133876,,47,23,0,0,0,0,9,23,2,24,0,12,10,,0,14,12,1,01611500133876
24,01,61150,6090369,,470,143,1,0,3,0,66,147,74,173,0,6,10,,0,14,5,1,01611506090369
24,01,61150,6090385,,749,273,0,0,9,0,113,273,57,290,0,9,10,,0,6,8,1,01611506090385
24,01,61150,6090393,,661,184,0,0,6,0,89,185,112,240,0,6,10,,0,14,5,1,01611506090393
24,01,61150,6113005,,381,80,0,0,0,0,40,80,57,112,0,6,10,,0,14,5,1,01611506113005
24,01,61150,6090401,,495,216,0,0,7,0,95,218,119,265,0,6,10,,0,14,5,1,01611506090401
24,01,61150,0000001,,18,2,1,0,0,0,5,6,1,7,,,,,,,,1,01611500000001
24,01,61150,6090419,,144,59,0,0,1,0,29,59,18,67,0,6,10,,0,14,5,1,01611506090419
24,01,61150,6090435,,596,162,0,0,7,0,62,165,85,205,0,6,10,,0,14,5,1,01611506090435
24,01,61150,0135533,,118,76,1,0,4,0,54,78,14,80,0,2,3,,0,9,12,1,01611500135533
24,01,61150,0130047,,20,9,0,0,0,0,3,9,0,9,0,14,9,,0,9,12,1,01611500130047
24,01,61150,6090468,,520,265,0,0,7,0,141,273,138,299,0,6,10,,0,14,5,1,01611506090468
24,01,61150,6090484,,502,135,0,0,4,0,61,135,100,184,0,6,10,,0,14,5,1,01611506090484
24,01,61168,6090492,,444,300,1,0,11,0,235,351,78,364,0,6,10,,0,14,8,1,01611686090492
24,01,61168,0132746,,155,96,0,0,2,0,72,114,20,119,0,7,10,,0,9,12,1,01611680132746
24,01,61168,0000001,,1,0,0,0,0,0,0,0,0,0,,,,,,,,1,01611680000001
24,01,61176,0130062,,2587,502,1,0,11,0,297,507,190,597,0,7,10,,0,9,12,1,01611760130062
24,01,61176,6104723,,627,97,0,0,0,0,54,102,88,159,0,6,10,,0,14,5,1,01611766104723
24,01,61176,6000558,,588,279,1,0,6,2,169,282,256,382,0,6,10,,0,14,5,1,01611766000558
24,01,61176,6089320,,448,102,0,0,1,0,65,103,82,156,0,6,10,,0,14,5,1,01611766089320
24,01,61176,6000566,,277,172,0,0,3,1,124,175,119,202,0,6,10,,0,14,5,1,01611766000566
24,01,61176,6056873,,1451,438,0,0,17,7,317,442,273,552,0,9,10,,0,6,8,1,01611766056873
24,01,61176,0130534,0152,402,169,0,0,8,0,131,174,65,206,1,12,10,2,0,14,12,1,01611760130534
24,01,61176,6000590,,254,85,1,0,1,1,47,88,64,126,0,6,10,,0,14,5,1,01611766000590
24,01,61176,6111330,,693,101,0,0,6,0,48,102,141,211,0,6,10,,0,14,5,1,01611766111330
24,01,61176,6106983,,397,53,1,0,1,0,29,54,49,85,0,6,10,,0,14,5,1,01611766106983
24,01,61176,6056881,,1154,475,0,0,15,1,253,477,268,569,0,9,10,,0,6,8,1,01611766056881
24,01,61176,6000624,,563,218,0,0,5,2,163,225,175,281,0,6,10,,0,14,5,1,01611766000624
24,01,61176,6000640,,379,127,1,0,4,1,80,127,87,169,0,6,10,,0,14,5,1,01611766000640
24,01,61176,0134270,,2161,416,2,0,13,1,245,419,150,494,0,7,10,,0,9,12,1,01611760134270
24,01,61176,6000665,,697,191,0,0,2,1,123,198,219,333,0,6,10,,0,14,5,1,01611766000665
24,01,61176,6000673,,547,67,0,0,0,0,41,68,172,215,0,6,10,,0,14,2,1,01611766000673
24,01,61176,6000541,,576,238,2,0,8,1,138,240,177,312,0,6,10,,0,14,5,1,01611766000541
24,01,61176,0134452,,1273,578,2,0,26,7,325,582,240,653,0,7,10,,0,9,12,1,01611760134452
24,01,61176,6000723,,365,64,1,0,3,0,38,64,43,93,0,6,10,,0,14,5,1,01611766000723
24,01,61176,6066468,,501,66,0,0,2,0,43,68,78,127,0,6,10,,0,14,5,1,01611766066468
24,01,61176,6056907,,1585,282,0,0,9,3,165,286,133,347,0,9,10,,0,6,8,1,01611766056907
24,01,61176,6000681,,379,120,0,0,0,0,75,121,94,183,0,6,10,,0,14,5,1,01611766000681
24,01,61176,6090526,,475,59,0,0,4,2,37,64,93,135,0,6,10,,0,14,5,1,01611766090526
24,01,61176,0138982,,942,219,1,0,3,0,156,224,291,402,0,6,10,,0,14,5,1,01611760138982
24,01,61176,6090534,,430,63,0,0,1,0,38,64,64,111,0,6,10,,0,14,5,1,01611766090534
24,01,61176,0135244,,1822,203,0,0,3,2,120,207,62,239,0,7,10,,0,9,12,1,01611760135244
24,01,61176,6000749,,379,56,0,0,1,1,38,58,56,97,0,6,10,,0,14,5,1,01611766000749
24,01,61176,6000756,,478,90,0,0,1,0,49,94,61,129,0,6,10,,0,14,5,1,01611766000756
24,01,61176,0000001,,68,2,0,0,2,0,23,23,19,38,,,,,,,,1,01611760000001
24,01,61176,6000764,,411,123,0,0,0,0,73,126,117,180,0,6,10,,0,14,5,1,01611766000764
24,01,61176,6090542,,573,175,1,0,5,0,100,177,142,253,0,6,10,,0,14,5,1,01611766090542
24,01,61176,6000798,,771,141,0,0,1,1,84,144,161,261,0,6,10,,0,14,5,1,01611766000798
24,01,61176,6000806,,620,113,2,0,2,0,71,114,97,176,0,6,10,,0,14,5,1,01611766000806
24,01,61176,0130138,,169,106,1,0,15,1,69,106,28,113,0,2,3,,0,9,12,1,01611760130138
24,01,61176,6090559,,500,124,0,0,4,0,49,125,130,203,0,6,10,,0,14,5,1,01611766090559
24,01,61176,6056915,,1854,360,2,0,8,0,206,364,158,438,0,9,10,,0,6,8,1,01611766056915
24,01,61176,6000715,,534,161,0,0,2,0,97,162,192,272,0,6,10,,0,14,5,1,01611766000715
24,01,61176,6000830,,355,107,0,0,4,0,79,109,86,159,0,6,10,,0,14,5,1,01611766000830
24,01,61176,0130435,,41,16,0,0,3,0,11,16,1,16,0,1,1,,0,7,12,1,01611760130435
24,01,61176,6000848,,638,68,0,0,3,0,28,68,78,136,0,6,10,,0,3,5,1,01611766000848
24,01,61176,6089619,,732,161,0,0,3,0,100,164,144,248,0,6,10,,0,14,5,1,01611766089619
24,01,61176,0138693,,1901,575,0,0,17,9,361,582,266,686,0,7,10,,0,9,12,1,01611760138693
24,01,61176,6056923,,1417,181,2,0,3,2,101,184,83,226,0,9,10,,0,6,8,1,01611766056923
24,01,61176,0127233,,49,15,0,0,0,0,8,15,16,23,0,14,9,,0,9,12,1,01611760127233
24,01,61192,6056956,,375,315,0,0,9,1,134,316,64,320,0,9,10,,0,7,8,1,01611926056956
24,01,61192,0133009,,132,115,3,0,6,1,56,118,33,120,0,2,3,,0,9,12,1,01611920133009
24,01,61192,6056931,,493,353,1,0,6,5,191,355,70,364,0,9,10,,0,7,8,1,01611926056931
24,01,61192,6000905,,786,602,3,0,19,15,292,604,304,642,0,6,10,,0,14,6,1,01611926000905
24,01,61192,6056949,,455,386,1,0,18,2,215,389,180,408,0,9,10,,0,7,8,1,01611926056949
24,01,61192,6000913,,863,693,4,0,31,11,415,697,448,772,0,6,10,,0,14,6,1,01611926000913
24,01,61192,0000000,,73,36,0,0,1,0,16,36,7,37,,,,,,15,14,1,01611920000000
24,01,61192,6000921,,433,309,2,0,4,0,183,310,95,326,0,6,10,,0,14,6,1,01611926000921
24,01,61192,6090583,,477,336,0,0,6,1,158,337,126,359,0,6,10,,0,14,6,1,01611926090583
24,01,61192,6000947,,286,221,0,0,2,4,135,223,96,232,0,6,10,,0,14,6,1,01611926000947
24,01,61192,6000962,,543,399,0,0,6,1,253,401,130,426,0,6,10,,0,14,6,1,01611926000962
24,01,61192,6113815,,109,95,1,0,9,1,55,95,39,97,0,6,10,,0,14,8,1,01611926113815
24,01,61192,6000988,,469,387,1,0,14,17,272,391,322,440,0,6,10,,0,14,6,1,01611926000988
24,01,61192,6000996,,666,556,3,0,32,7,338,557,267,601,0,6,10,,0,14,6,1,01611926000996
24,01,61192,0133629,,1667,1176,4,0,48,14,706,1190,166,1224,0,7,10,,0,9,12,1,01611920133629
24,01,61192,0127944,1543,617,394,0,0,1,0,146,448,93,472,1,12,10,1,1,1,12,1,01611920127944
24,01,61192,0137646,0836,760,444,1,0,0,0,225,456,152,501,1,12,10,1,1,6,12,1,01611920137646
24,01,61192,0127696,1514,628,483,0,0,0,0,292,492,251,532,1,6,10,1,1,14,8,1,01611920127696
24,01,61192,0108670,0684,557,315,0,0,0,0,166,320,60,329,1,7,10,1,1,9,12,1,01611920108670
24,01,61192,6001044,,500,419,1,0,36,5,266,422,256,453,0,6,10,,0,14,6,1,01611926001044
24,01,61192,6001051,,365,256,0,0,4,2,146,259,111,281,0,6,10,,0,14,6,1,01611926001051
24,01,61192,6066476,,703,610,1,0,13,34,280,612,130,620,0,9,10,,0,7,8,1,01611926066476
24,01,61192,0135319,,1892,1512,1,0,49,33,643,1514,201,1534,0,7,10,,0,9,12,1,01611920135319
24,01,61192,0000001,,36,23,3,0,0,0,11,25,5,26,,,,,,,,1,01611920000001
24,01,61192,6001093,,473,380,0,0,15,2,199,382,179,410,0,6,10,,0,14,6,1,01611926001093
24,01,61192,6001101,,514,446,1,0,15,0,256,450,262,471,0,6,10,,0,14,6,1,01611926001101
24,01,61192,6001127,,387,325,0,0,8,12,178,327,152,342,0,6,10,,0,14,6,1,01611926001127
24,01,61192,6001135,,623,493,0,0,9,28,297,496,233,522,0,6,10,,0,14,6,1,01611926001135
24,01,61192,6001176,,583,426,1,0,8,2,193,427,121,447,0,6,10,,0,14,6,1,01611926001176
24,01,61192,0111815,,595,351,1,0,7,1,199,351,105,380,0,6,10,,0,14,6,1,01611920111815
24,01,61192,0138339,,1558,1311,5,0,139,47,700,1322,601,1396,0,7,10,,0,9,12,1,01611920138339
24,01,61192,6001192,,453,367,3,0,12,3,232,368,158,397,0,6,10,,0,14,6,1,01611926001192
24,01,61192,6104566,,588,490,2,0,23,42,315,500,329,537,0,6,10,,0,14,6,1,01611926104566
24,01,61192,6056972,,531,460,1,0,14,11,233,460,116,469,0,9,10,,0,7,8,1,01611926056972
24,01,61200,6117543,,639,109,2,0,6,2,84,112,42,133,0,6,10,,0,14,5,1,01612006117543
24,01,61200,6085773,,620,122,0,0,5,1,93,124,36,142,0,9,10,,0,6,8,1,01612006085773
24,01,61200,6071906,,580,131,3,0,20,0,109,143,68,165,0,6,10,,0,14,5,1,01612006071906
24,01,61200,0132670,,106,51,1,0,13,0,44,56,28,65,0,2,3,,0,7,12,1,01612000132670
24,01,61200,6001242,,560,127,2,0,14,1,106,137,56,159,0,9,10,,0,6,8,1,01612006001242
24,01,61200,6001259,,658,50,2,0,3,2,31,53,21,68,0,6,10,,0,14,5,1,01612006001259
24,01,61200,0133397,,2234,364,1,0,19,17,257,385,134,452,0,7,10,,0,9,12,1,01612000133397
24,01,61200,6001283,,514,136,3,0,4,0,104,140,52,159,0,6,10,,0,14,5,1,01612006001283
24,01,61200,6001291,,775,140,1,0,2,8,102,144,46,167,0,6,10,,0,14,8,1,01612006001291
24,01,61200,6001234,,803,402,2,0,16,27,309,414,249,490,0,6,10,,0,14,8,1,01612006001234
24,01,61200,0135376,,472,107,1,0,8,2,47,107,40,131,0,6,10,,0,14,5,1,01612000135376
24,01,61200,6110332,,489,114,1,0,4,1,95,119,38,137,0,6,10,,0,15,5,1,01612006110332
24,01,61200,0134536,,1803,463,2,0,28,10,366,478,176,531,0,7,10,,0,9,12,1,01612000134536
24,01,61200,6001317,,412,231,0,0,16,18,160,240,149,278,0,6,10,,0,14,5,1,01612006001317
24,01,61200,0000001,,24,7,0,0,0,0,6,7,4,8,,,,,,,,1,01612000000001
24,01,61200,6089338,,574,122,0,0,0,3,79,123,43,140,0,6,10,,0,14,5,1,01612006089338
24,01,61200,6097661,,753,139,0,0,0,0,59,139,30,150,0,6,10,,0,14,5,1,01612006097661
24,01,61200,0130393,,110,34,2,0,4,0,31,37,8,39,0,1,1,,0,14,12,1,01612000130393
24,01,61200,6001341,,893,97,0,0,0,2,47,99,21,115,0,9,10,,0,6,8,1,01612006001341
24,01,61218,6001358,,12,2,0,0,0,0,5,6,6,8,0,5,10,,0,14,8,1,01612186001358
24,01,61234,6001440,,360,226,8,0,26,1,139,228,152,258,0,6,10,,0,14,5,1,01612346001440
24,01,61234,6001531,,317,122,0,0,10,0,75,123,43,135,0,6,10,,0,3,5,1,01612346001531
24,01,61234,6001499,,414,159,0,0,11,0,90,159,109,210,0,6,10,,0,14,2,1,01612346001499
24,01,61234,0135426,,96,66,0,0,4,1,37,66,26,76,0,2,3,,0,9,12,1,01612340135426
24,01,61234,6001481,,440,257,1,0,24,3,148,257,149,294,0,6,10,,0,14,5,1,01612346001481
24,01,61234,0130484,,39,28,0,0,2,0,19,28,5,29,0,1,1,,0,14,12,1,01612340130484
24,01,61234,6001507,,459,173,3,0,18,2,94,175,80,212,0,6,10,,0,14,5,1,01612346001507
24,01,61234,6001523,,289,116,2,0,8,2,64,116,51,134,0,6,10,,0,14,5,1,01612346001523
24,01,61234,0130054,,1407,654,4,0,36,9,362,657,237,738,0,7,10,,0,9,12,1,01612340130054
24,01,61234,6102917,,1002,500,1,0,33,11,294,502,176,552,0,9,10,,0,6,8,1,01612346102917
24,01,61234,0000001,,5,0,0,0,0,0,2,2,1,3,,,,,,,,1,01612340000001
24,01,61242,0110478,,8,4,0,0,0,0,4,4,0,4,0,1,1,,0,9,12,1,01612420110478
24,01,61242,6001572,,653,373,1,0,14,3,197,375,123,411,0,6,10,,0,14,5,1,01612426001572
24,01,61242,6097679,,979,724,1,0,27,4,316,726,221,756,0,9,10,,0,6,8,1,01612426097679
24,01,61242,0110460,,127,91,1,0,1,0,58,92,35,100,0,2,3,,0,9,12,1,01612420110460
24,01,61242,0126763,,279,146,1,0,3,1,123,192,46,205,0,1,1,,0,14,12,1,01612420126763
24,01,61242,6118525,,672,217,0,0,2,1,85,217,86,268,0,6,10,,0,14,5,1,01612426118525
24,01,61242,6115554,,683,455,1,0,11,6,244,457,240,518,0,6,10,,0,14,5,1,01612426115554
24,01,61242,6001606,,422,319,0,0,16,6,150,322,121,336,0,6,10,,0,14,5,1,01612426001606
24,01,61242,6068266,,1092,545,2,0,8,1,232,546,97,573,0,9,10,,0,6,8,1,01612426068266
24,01,61242,0134668,,3151,1558,5,0,42,11,711,1568,350,1696,0,7,10,,0,9,12,1,01612420134668
24,01,61242,0000001,,2,0,0,0,0,0,0,0,0,0,,,,,,,,1,01612420000001
24,01,61242,6101604,,637,284,2,0,6,0,104,285,99,323,0,6,10,,0,14,5,1,01612426101604
24,01,61242,6001622,,710,500,1,0,22,28,233,505,232,546,0,6,10,,0,14,5,1,01612426001622
24,01,61242,6115505,,630,318,3,0,4,1,153,319,115,356,0,6,10,,0,14,5,1,01612426115505
24,01,61259,0111476,0780,541,486,3,0,1,0,316,497,435,531,1,6,10,1,1,14,5,1,01612590111476
24,01,61259,6002273,,290,281,1,0,14,0,150,282,188,288,0,6,10,,0,14,5,1,01612596002273
24,01,61259,0111856,0765,368,261,2,0,0,0,203,274,71,290,1,7,10,1,1,9,12,1,01612590111856
24,01,61259,6113807,0106,212,152,0,0,0,0,110,165,63,173,1,10,10,1,1,6,8,1,01612596113807
24,01,61259,6001630,,374,362,5,0,21,0,231,364,168,366,0,6,10,,0,14,5,1,01612596001630
