year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,01,10017,0000000,,214,73,20,15,0,118,171,44,199,,,,,,,,,1,01100170000000
20,01,10017,0112607,0811,412,276,4,0,0,170,295,70,308,1,7,10,,1,1,6,12,1,01100170112607
20,01,10017,0123968,1284,261,203,2,0,0,137,223,120,234,1,6,10,,1,1,14,8,1,01100170123968
20,01,10017,0124172,1296,487,77,0,0,0,52,77,33,96,1,6,10,,1,1,14,8,1,01100170124172
20,01,10017,0125567,1383,393,81,0,3,0,85,132,71,165,1,6,10,,1,1,14,8,1,01100170125567
20,01,10017,0129403,1632,246,196,3,0,0,113,199,113,223,1,9,10,,1,1,6,8,1,01100170129403
20,01,10017,0131581,1707,170,146,1,0,0,73,146,72,153,1,9,10,,1,1,6,8,1,01100170131581
20,01,10017,0136101,1881,416,88,1,1,0,50,105,16,116,1,12,10,,1,1,14,12,1,01100170136101
20,01,10017,0136226,1888,125,0,6,0,0,32,36,14,49,1,3,4,,2,0,10,12,1,01100170136226
20,01,10017,0137448,1908,112,88,0,8,0,52,93,26,95,1,10,10,,1,1,6,8,1,01100170137448
20,01,10017,0138867,2027,89,62,0,0,0,21,63,32,66,1,6,10,,1,1,14,6,1,01100170138867
20,01,10017,6001788,0740,585,468,1,8,0,283,480,260,522,1,6,10,,1,1,15,5,1,01100176001788
20,01,10017,6002000,1464,481,342,2,5,6,186,379,225,418,1,6,10,,1,1,14,8,1,01100176002000
20,01,61119,0000000,,9372,2370,14,48,0,1735,2422,1121,2936,,,,,,,,,1,01611190000000
20,01,61119,0119222,1066,610,211,1,16,0,146,238,92,275,1,12,10,,1,1,14,12,1,01611190119222
20,01,61119,0122085,1181,476,246,0,6,0,127,246,59,255,1,9,10,7,1,1,6,8,1,01611190122085
20,01,61119,0130609,0352,358,85,1,7,0,76,111,40,127,1,12,10,7,1,1,6,12,1,01611190130609
20,01,61119,0130625,0398,171,159,1,1,0,61,160,97,165,1,7,10,,1,1,9,12,1,01611190130625
20,01,61119,0131805,1718,298,140,0,1,0,53,140,46,153,1,6,10,,1,1,14,5,1,01611190131805
20,01,61127,0000000,,3586,590,1,5,0,422,635,507,960,,,,,,,,,1,01611270000000
20,01,61143,0000000,,9844,2615,21,221,0,1625,2673,813,3020,,,,,,,,,1,01611430000000
