year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,01,10017,0137448,1908,197,142,1,0,8,0,106,146,53,172,,10,10,,1,1,6,8,1,01100170137448
21,01,10017,0123968,1284,253,93,1,0,3,0,140,176,132,210,,6,10,,1,1,14,8,1,01100170123968
21,01,10017,0136101,1881,534,128,0,0,2,0,88,146,16,153,,12,10,,1,1,14,12,1,01100170136101
21,01,10017,6001788,0740,581,508,7,0,5,0,301,516,279,536,,6,10,,1,1,15,5,1,01100176001788
21,01,10017,0112607,0811,408,310,4,0,0,0,182,317,70,328,,7,10,,1,1,6,12,1,01100170112607
21,01,10017,0138867,2027,114,61,0,0,0,0,33,61,39,77,,6,10,,1,1,14,6,1,01100170138867
21,01,10017,6002000,1464,485,442,2,0,5,0,220,442,235,455,,6,10,,1,1,14,8,1,01100176002000
21,01,10017,0131581,1707,145,118,0,0,0,0,64,124,62,128,,9,10,,1,1,6,8,1,01100170131581
21,01,10017,0136226,1888,134,40,4,0,1,0,46,49,22,65,,3,4,,2,0,10,12,1,01100170136226
21,01,10017,0125567,1383,394,42,0,0,2,0,91,111,66,139,,6,10,,1,1,14,8,1,01100170125567
21,01,10017,0124172,1296,555,101,0,0,1,0,78,101,53,135,,6,10,,1,1,14,8,1,01100170124172
21,01,10017,0000000,,157,90,7,0,12,0,93,111,37,138,,,,,,,,,1,01100170000000
21,01,61119,0130609,0352,358,74,0,0,4,0,71,86,48,112,,12,10,7,1,1,6,12,1,01611190130609
21,01,61119,0130625,0398,167,119,0,0,5,0,69,154,97,159,,7,10,,1,1,9,12,1,01611190130625
21,01,61119,0119222,1066,589,155,0,0,9,0,164,195,94,226,,12,10,,1,1,14,12,1,01611190119222
21,01,61119,0122085,1181,439,250,1,0,4,0,148,251,66,267,,9,10,7,1,1,6,8,1,01611190122085
21,01,61119,0131805,1718,303,160,1,0,0,0,78,160,56,171,,6,10,,1,1,14,5,1,01611190131805
21,01,61119,0000000,,9070,2123,14,0,55,0,1780,2255,1041,2743,,,,,,,,,1,01611190000000
21,01,61127,0000000,,3501,544,2,0,3,0,471,587,430,868,,,,,,,,,1,01611270000000
21,01,61143,0000000,,9409,2391,16,0,199,0,1730,2431,684,2743,,,,,,,,,1,01611430000000
21,01,61150,0000000,,9203,1896,17,0,92,0,1391,1977,1002,2579,,,,,,,,,1,01611500000000
21,01,61168,0000000,,696,522,0,0,1,0,300,553,149,565,,,,,,,,,1,01611680000000
21,01,61176,0130534,0152,405,150,1,0,0,0,96,154,40,170,,12,10,,2,1,14,12,1,01611760130534
21,01,61176,0000000,,34782,6469,24,0,178,63,3605,6512,4425,9215,,,,,,,,,1,01611760000000
21,01,61192,0119248,1067,308,23,0,0,1,0,41,57,32,81,,6,10,,1,1,1,8,1,01611920119248
21,01,61192,0137646,0836,824,487,0,0,0,0,229,492,109,518,,12,10,,1,1,6,12,1,01611920137646
21,01,61192,0127696,1514,602,317,1,0,0,0,206,319,237,403,,6,10,7,1,1,14,8,1,01611920127696
21,01,61192,0108670,0684,614,338,0,0,0,0,153,339,51,354,,7,10,,1,1,9,12,1,01611920108670
21,01,61192,0127944,1543,221,125,0,0,1,1,56,131,29,136,,7,10,7,1,1,9,12,1,01611920127944
21,01,61192,0000000,,19069,11193,57,0,543,349,7055,11419,6136,13275,,,,,,,,,1,01611920000000
21,01,61200,0000000,,13304,2994,12,0,101,168,2027,3034,1379,3531,,,,,,,,,1,01612000000000
21,01,61218,0000000,,16,12,0,0,0,0,6,12,4,12,,,,,,,,,1,01612180000000
21,01,61234,0000000,,5503,2833,17,0,251,61,1314,2956,1130,3259,,,,,,,,,1,01612340000000
21,01,61242,0000000,,10770,4176,8,0,143,124,2361,4207,2161,5202,,,,,,,,,1,01612420000000
21,01,61259,0111476,0780,607,552,0,0,9,0,274,558,452,585,,6,10,,1,1,14,5,1,01612590111476
21,01,61259,6113807,0106,240,151,0,0,0,0,141,159,72,182,,10,10,,1,1,6,8,1,01612596113807
21,01,61259,0114363,0882,659,440,0,0,0,0,376,452,227,514,,6,10,,1,1,14,8,1,01612590114363
21,01,61259,0111856,0765,446,278,0,0,0,0,235,286,80,309,,7,10,,1,1,9,12,1,01612590111856
21,01,61259,0115238,0837,387,326,0,0,0,0,159,332,81,342,,7,10,,1,1,9,12,1,01612590115238
21,01,61259,6118608,1443,509,447,2,0,0,0,214,449,308,478,,6,10,,1,1,14,8,1,01612596118608
21,01,61259,0109819,0726,555,396,2,0,0,0,272,397,83,417,,6,10,,1,1,14,8,1,01612590109819
21,01,61259,0128413,1577,271,229,0,0,0,0,138,231,94,242,,6,10,,1,1,14,5,1,01612590128413
21,01,61259,0120188,1115,228,207,0,0,2,0,113,209,111,217,,6,10,,1,1,14,8,1,01612590120188
21,01,61259,0118224,1023,608,486,1,0,2,0,282,489,149,521,,12,10,,1,1,6,12,1,01612590118224
21,01,61259,0130666,0465,505,432,0,0,12,0,191,433,134,446,,12,10,,1,1,6,12,1,01612590130666
21,01,61259,6117568,0252,413,358,0,0,6,0,183,359,207,386,,6,10,,1,1,14,5,1,01612596117568
21,01,61259,0130732,1663,286,266,0,0,7,0,165,269,52,269,,6,10,,1,1,14,5,1,01612590130732
21,01,61259,0106906,0661,353,237,1,0,31,0,177,267,87,289,,12,10,,1,1,6,12,1,01612590106906
21,01,61259,0115386,0948,54,54,1,0,8,0,9,54,12,54,,7,10,,1,1,9,14,1,01612590115386
21,01,61259,0132555,1745,55,36,1,0,0,0,25,37,10,38,,7,10,,1,1,9,12,1,01612590132555
21,01,61259,0129635,1661,318,113,0,0,0,0,168,241,53,248,,9,10,,1,1,6,8,1,01612590129635
21,01,61259,0129932,1620,630,197,0,0,0,0,134,211,51,235,,12,10,,1,1,6,12,1,01612590129932
21,01,61259,0132514,1708,311,26,0,0,0,0,54,63,46,93,,6,10,,1,1,14,8,1,01612590132514
21,01,61259,0115014,0938,560,462,3,0,25,0,344,475,131,485,,6,10,,1,1,14,8,1,01612590115014
21,01,61259,0115592,1442,411,370,2,0,8,0,217,377,194,381,,6,10,,1,1,14,5,1,01612590115592
21,01,61259,0130633,0413,511,455,0,0,6,0,222,455,289,478,,6,10,,1,1,14,8,1,01612590130633
21,01,61259,0108944,0700,304,264,1,0,3,0,127,264,90,273,,7,10,,1,1,9,12,1,01612590108944
21,01,61259,0134015,1783,645,509,2,0,9,0,262,515,265,542,,12,10,,1,1,14,12,1,01612590134015
21,01,61259,0126748,1449,492,455,3,0,16,0,202,455,189,473,,7,10,1,1,1,9,12,1,01612590126748
21,01,61259,6117972,0302,159,73,1,0,0,0,64,78,25,85,,6,10,,1,1,14,8,1,01612596117972
21,01,61259,6111660,0014,248,76,0,0,0,0,128,199,115,218,,9,10,,1,1,6,8,1,01612596111660
21,01,61259,0114868,0883,459,191,1,0,0,0,197,364,67,375,,7,10,,1,1,9,12,1,01612590114868
21,01,61259,0130617,0349,627,478,0,0,13,0,304,482,196,519,,12,10,,1,1,6,12,1,01612590130617
21,01,61259,3030772,0340,801,122,0,0,6,0,124,132,7,136,,12,10,,1,1,6,12,1,01612593030772
21,01,61259,0100065,0510,372,295,1,0,0,0,135,315,104,326,,7,10,,1,1,9,12,1,01612590100065
21,01,61259,0123711,1271,183,58,0,0,0,0,127,182,43,182,,6,10,,1,1,14,5,1,01612590123711
21,01,61259,0000000,,35435,25412,179,0,733,12,15051,25477,11713,26888,,,,,,,,,1,01612590000000
21,01,61275,0000000,,2464,0,0,0,3,0,55,56,28,79,,,,,,,,,1,01612750000000
21,01,61291,0000000,,8828,5306,21,0,99,0,2877,5343,2304,5936,,,,,,,,,1,01612910000000
21,01,61309,0114421,0880,674,465,3,0,8,0,217,477,57,483,,7,10,7,1,1,9,12,1,01613090114421
