year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,01,10017,0130419,,105,74,3,0,1,0,68,80,28,86,,3,4,,,0,14,12,1,01100170130419
21,01,10017,0130401,,52,16,4,0,11,0,25,31,9,52,,11,7,,,0,14,12,1,01100170130401
21,01,10017,0137448,1908,197,142,1,0,8,0,106,146,53,172,,10,10,,1,1,6,8,1,01100170137448
21,01,10017,0123968,1284,253,93,1,0,3,0,140,176,132,210,,6,10,,1,1,14,8,1,01100170123968
21,01,10017,0136101,1881,534,128,0,0,2,0,88,146,16,153,,12,10,,1,1,14,12,1,01100170136101
21,01,10017,6001788,0740,581,508,7,0,5,0,301,516,279,536,,6,10,,1,1,15,5,1,01100176001788
21,01,10017,0112607,0811,408,310,4,0,0,0,182,317,70,328,,7,10,,1,1,6,12,1,01100170112607
21,01,10017,0138867,2027,114,61,0,0,0,0,33,61,39,77,,6,10,,1,1,14,6,1,01100170138867
21,01,10017,6002000,1464,485,442,2,0,5,0,220,442,235,455,,6,10,,1,1,14,8,1,01100176002000
21,01,10017,0131581,1707,145,118,0,0,0,0,64,124,62,128,,9,10,,1,1,6,8,1,01100170131581
21,01,10017,0136226,1888,134,40,4,0,1,0,46,49,22,65,,3,4,,2,0,10,12,1,01100170136226
21,01,10017,0125567,1383,394,42,0,0,2,0,91,111,66,139,,6,10,,1,1,14,8,1,01100170125567
21,01,10017,0124172,1296,555,101,0,0,1,0,78,101,53,135,,6,10,,1,1,14,8,1,01100170124172
21,01,61119,0130609,0352,358,74,0,0,4,0,71,86,48,112,,12,10,7,1,1,6,12,1,01611190130609
21,01,61119,0130229,,1743,332,2,0,7,0,269,350,100,400,,7,10,7,,0,9,12,1,01611190130229
21,01,61119,0106401,,170,61,0,0,1,0,51,64,13,68,,1,1,7,,0,9,12,1,01611190106401
21,01,61119,0130625,0398,167,119,0,0,5,0,69,154,97,159,,7,10,,1,1,9,12,1,01611190130625
21,01,61119,6100374,,637,62,0,0,2,0,45,65,67,119,,6,10,7,,0,14,5,1,01611196100374
21,01,61119,6110779,,583,56,0,0,0,0,46,57,39,89,,6,10,7,,0,14,8,1,01611196110779
21,01,61119,6090013,,458,48,0,0,1,0,35,49,50,76,,6,10,7,,0,14,5,1,01611196090013
21,01,61119,0132142,,1199,377,2,0,9,0,321,405,120,448,,12,10,,,0,6,12,1,01611190132142
21,01,61119,6090021,,610,87,0,0,0,0,79,90,67,130,,6,10,7,,0,14,5,1,01611196090021
21,01,61119,6090039,,311,58,0,0,0,0,50,60,38,77,,6,10,7,,0,14,5,1,01611196090039
21,01,61119,0134304,,63,34,1,0,0,0,32,37,6,38,,2,3,7,,0,9,12,1,01611190134304
21,01,61119,6090054,,848,128,0,0,3,0,96,132,56,163,,9,10,7,,0,6,8,1,01611196090054
21,01,61119,6090047,,518,190,2,0,5,0,168,201,120,243,,6,10,7,,0,14,5,1,01611196090047
21,01,61119,0139220,,438,89,0,0,1,0,78,97,45,123,,6,10,,,0,14,5,1,01611190139220
21,01,61119,0119222,1066,589,155,0,0,9,0,164,195,94,226,,12,10,,1,1,14,12,1,01611190119222
21,01,61119,0000001,,32,2,1,0,0,0,11,12,2,13,,,,,,,,,1,01611190000001
21,01,61119,0111765,,454,238,4,0,7,0,197,252,116,284,,6,10,7,,0,14,5,1,01611190111765
21,01,61119,0122085,1181,439,250,1,0,4,0,148,251,66,267,,9,10,7,1,1,6,8,1,01611190122085
21,01,61119,0131805,1718,303,160,1,0,0,0,78,160,56,171,,6,10,,1,1,14,5,1,01611190131805
21,01,61119,6090112,,612,218,2,0,14,0,192,233,120,288,,9,10,7,,0,6,8,1,01611196090112
