year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,01,10017,0130625,0398,132,120,0,0,2,0,56,124,71,128,1,7,10,1,1,9,12,1,01100170130625
24,01,10017,0137448,1908,122,116,0,0,0,0,66,117,42,118,1,10,10,1,1,6,8,1,01100170137448
24,01,10017,0123968,1284,186,163,0,0,0,0,115,170,99,174,1,6,10,1,1,14,8,1,01100170123968
24,01,10017,0136101,1881,505,97,1,0,1,0,101,136,27,148,1,12,10,1,1,14,12,1,01100170136101
24,01,10017,6001788,0740,464,408,0,0,1,1,274,413,253,442,1,6,10,1,1,14,5,1,01100176001788
24,01,10017,0112607,0811,223,145,0,0,1,0,117,162,43,174,1,12,10,1,1,6,12,1,01100170112607
24,01,10017,0138867,2027,203,106,0,0,0,0,84,121,56,132,1,6,10,1,1,14,6,1,01100170138867
24,01,10017,6002000,1464,478,410,0,0,1,0,256,414,191,432,1,6,10,1,1,14,8,1,01100176002000
24,01,10017,0131581,1707,125,122,0,0,0,0,55,123,45,124,1,9,10,1,1,6,8,1,01100170131581
24,01,10017,0136226,1888,157,5,11,0,16,0,62,76,28,88,1,3,4,2,0,10,12,1,01100170136226
24,01,10017,0125567,1383,347,108,0,0,0,0,86,119,44,138,1,6,10,1,1,14,8,1,01100170125567
24,01,10017,0124172,1296,865,267,0,0,0,0,204,273,149,333,1,6,10,1,1,14,8,1,01100170124172
24,01,10017,0000000,,102,10,14,0,11,0,64,77,28,91,,,,,,,,1,01100170000000
24,01,61119,0130609,0352,389,9,1,0,5,0,133,143,54,169,1,12,10,1,1,6,12,1,01611190130609
24,01,61119,0119222,1066,487,31,0,0,6,0,136,161,64,197,1,12,10,1,1,14,12,1,01611190119222
24,01,61119,0122085,1181,620,266,3,0,3,0,209,359,79,384,1,6,10,1,1,14,8,1,01611190122085
24,01,61119,0000000,,9061,3317,22,1,77,0,1867,3375,709,3537,,,,,,,,1,01611190000000
24,01,61127,0000000,,3574,915,1,0,24,0,579,1118,456,1305,,,,,,,,1,01611270000000
24,01,61143,0000000,,9077,2467,32,0,150,0,1673,2504,594,2720,,,,,,,,1,01611430000000
24,01,61150,0000000,,9489,3613,5,0,135,0,1709,3661,1266,4079,,,,,,,,1,01611500000000
24,01,61168,0000000,,600,396,1,0,13,0,307,465,98,483,,,,,,,,1,01611680000000
24,01,61176,0130534,0152,402,169,0,0,8,0,131,174,65,206,1,12,10,2,0,14,12,1,01611760130534
24,01,61176,0000000,,32661,7789,21,0,218,46,4737,7920,5443,10787,,,,,,,,1,01611760000000
24,01,61192,0127944,1543,617,394,0,0,1,0,146,448,93,472,1,12,10,1,1,1,12,1,01611920127944
24,01,61192,0137646,0836,760,444,1,0,0,0,225,456,152,501,1,12,10,1,1,6,12,1,01611920137646
24,01,61192,0127696,1514,628,483,0,0,0,0,292,492,251,532,1,6,10,1,1,14,8,1,01611920127696
24,01,61192,0108670,0684,557,315,0,0,0,0,166,320,60,329,1,7,10,1,1,9,12,1,01611920108670
24,01,61192,0000000,,17628,13848,43,0,563,302,7567,13934,5306,14653,,,,,,,,1,01611920000000
24,01,61200,0000000,,13019,2946,23,0,162,94,2129,3057,1241,3529,,,,,,,,1,01612000000000
24,01,61218,0000000,,12,2,0,0,0,0,5,6,6,8,,,,,,,,1,01612180000000
24,01,61234,0000000,,4828,2301,19,0,172,29,1324,2313,1029,2641,,,,,,,,1,01612340000000
24,01,61242,0000000,,10045,5534,18,0,156,62,2610,5608,1765,6092,,,,,,,,1,01612420000000
24,01,61259,0111476,0780,541,486,3,0,1,0,316,497,435,531,1,6,10,1,1,14,5,1,01612590111476
24,01,61259,0111856,0765,368,261,2,0,0,0,203,274,71,290,1,7,10,1,1,9,12,1,01612590111856
24,01,61259,6113807,0106,212,152,0,0,0,0,110,165,63,173,1,10,10,1,1,6,8,1,01612596113807
24,01,61259,0114363,0882,628,462,1,0,0,0,365,484,172,517,1,6,10,1,1,14,8,1,01612590114363
24,01,61259,0115238,0837,400,345,1,0,0,0,185,357,133,370,1,7,10,1,1,9,12,1,01612590115238
24,01,61259,6118608,1443,481,409,0,0,0,0,273,421,291,452,1,6,10,1,1,14,8,1,01612596118608
24,01,61259,0109819,0726,497,411,0,0,4,0,269,416,85,421,1,6,10,1,1,14,8,1,01612590109819
24,01,61259,0128413,1577,203,188,0,0,7,0,123,189,103,194,1,6,10,1,1,14,5,1,01612590128413
24,01,61259,0118224,1023,436,398,4,0,7,0,219,405,121,411,1,12,10,1,1,6,12,1,01612590118224
24,01,61259,0130666,0465,406,346,0,0,6,0,184,349,86,354,1,12,10,1,1,6,12,1,01612590130666
24,01,61259,6117568,0252,401,334,0,0,12,0,180,334,262,367,1,6,10,1,1,14,5,1,01612596117568
24,01,61259,0130732,1663,245,217,9,0,8,0,169,226,60,227,1,6,10,1,1,14,5,1,01612590130732
24,01,61259,0106906,0661,309,246,2,0,17,0,157,248,81,262,1,12,10,1,1,6,12,1,01612590106906
24,01,61259,0129635,1661,259,204,0,0,0,0,148,204,62,211,1,9,10,1,1,6,8,1,01612590129635
24,01,61259,0129932,1620,502,192,1,0,0,0,151,194,48,210,1,12,10,1,1,6,12,1,01612590129932
24,01,61259,0132514,1708,331,110,0,0,5,0,76,116,57,138,1,6,10,1,1,14,8,1,01612590132514
24,01,61259,0115014,0938,487,447,0,0,18,0,328,449,122,454,1,6,10,1,1,14,8,1,01612590115014
24,01,61259,0115592,1442,353,303,1,0,5,0,187,303,193,317,1,6,10,1,1,14,5,1,01612590115592
24,01,61259,0130633,0413,554,501,0,0,16,0,264,515,264,528,1,6,10,1,1,14,8,1,01612590130633
24,01,61259,0108944,0700,302,273,1,0,8,0,141,282,89,289,1,7,10,1,1,9,12,1,01612590108944
24,01,61259,0134015,1783,739,618,3,0,17,0,318,660,333,686,1,12,10,1,1,14,12,1,01612590134015
24,01,61259,0126748,1449,218,91,1,0,0,0,110,131,81,161,1,7,10,1,1,9,12,1,01612590126748
24,01,61259,6117972,0302,111,56,1,0,3,0,48,72,16,78,1,6,10,1,1,14,5,1,01612596117972
24,01,61259,6111660,0014,223,170,2,0,0,0,112,172,118,210,1,9,10,1,1,6,8,1,01612596111660
24,01,61259,0114868,0883,359,241,1,0,0,0,190,246,105,285,1,7,10,1,1,9,12,1,01612590114868
24,01,61259,0130617,0349,518,452,2,0,12,0,260,461,203,480,1,12,10,1,1,6,12,1,01612590130617
24,01,61259,3030772,0340,780,164,3,0,1,0,158,185,6,186,1,12,10,1,1,6,12,1,01612593030772
24,01,61259,0100065,0510,304,295,1,0,0,0,111,297,96,300,1,7,10,1,1,9,12,1,01612590100065
24,01,61259,0000000,,33873,27535,172,0,2302,2,15647,27666,11153,27876,,,,,,,,1,01612590000000
24,01,61275,0000000,,2308,76,0,0,9,0,70,81,27,96,,,,,,,,1,01612750000000
24,01,61291,0000000,,8741,6465,26,0,93,0,3297,6621,2130,6917,,,,,,,,1,01612910000000
24,01,61309,0114421,0880,690,507,0,0,12,0,243,510,100,525,1,7,10,1,1,9,12,1,01613090114421
24,01,61309,0101212,0524,422,321,1,0,5,0,170,322,143,334,1,9,10,1,1,5,8,1,01613090101212
24,01,61309,0000000,,8123,6259,18,0,226,30,3334,6329,2639,6683,,,,,,,,1,01613090000000
24,01,75093,0000000,,12827,0,11,0,3,0,1052,1059,801,1706,,,,,,,,1,01750930000000
24,01,75101,0000000,,13684,1028,3,0,40,0,1038,1266,1405,2309,,,,,,,,1,01751010000000
24,01,75119,0000000,,268,0,1,0,1,0,26,28,14,40,,,,,,,,1,01751190000000
24,01,77180,0138289,2015,350,242,2,0,2,0,158,251,91,262,1,8,10,1,0,9,12,1,01771800138289
24,02,10025,0000000,,2,0,0,0,0,0,2,2,0,2,,,,,,,,1,02100250000000
24,02,61333,0000000,,65,4,0,1,4,0,37,40,1,41,,,,,,,,1,02613330000000
24,03,10033,0000000,,21,0,1,0,2,0,5,7,0,7,,,,,,,,1,03100330000000
24,03,73981,0000000,,4067,581,27,0,180,78,1551,1702,126,1741,,,,,,,,1,03739810000000
24,04,10041,0134213,1811,77,72,2,0,35,0,50,72,3,72,1,7,10,2,0,9,12,1,04100410134213
24,04,10041,0114991,0945,898,453,0,0,19,0,300,453,10,453,1,12,10,1,1,14,12,1,04100410114991
