year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,01,10017,0130419,,54,30,1,0,0,0,36,45,23,46,0,3,4,,,0,14,12,1,01100170130419
23,01,10017,0130401,,48,1,6,0,17,0,20,32,5,48,0,11,7,,,0,14,12,1,01100170130401
23,01,10017,0130625,0398,143,117,0,0,4,0,70,128,85,140,1,7,10,,1,1,9,12,1,01100170130625
23,01,10017,0137448,1908,146,122,0,0,0,0,85,125,41,131,1,10,10,5,1,1,6,8,1,01100170137448
23,01,10017,0123968,1284,183,76,0,0,1,0,111,139,93,160,1,6,10,2,1,1,14,8,1,01100170123968
23,01,10017,0136101,1881,494,101,0,0,3,0,91,134,21,141,1,12,10,,1,1,14,12,1,01100170136101
23,01,10017,6001788,0740,483,437,1,0,2,1,281,440,272,460,1,6,10,2,1,1,15,5,1,01100176001788
23,01,10017,0112607,0811,272,215,1,0,0,0,149,218,54,224,1,12,10,,1,1,4,12,1,01100170112607
23,01,10017,0138867,2027,150,63,0,0,3,0,50,63,50,90,1,6,10,,1,1,14,6,1,01100170138867
23,01,10017,6002000,1464,463,403,0,0,1,0,245,404,235,427,1,6,10,2,1,1,14,8,1,01100176002000
23,01,10017,0131581,1707,59,0,0,0,0,0,26,26,32,45,1,9,10,5,1,1,6,8,1,01100170131581
23,01,10017,0136226,1888,166,10,12,0,23,0,78,92,34,113,1,3,4,,2,0,10,12,1,01100170136226
23,01,10017,0125567,1383,326,45,0,0,2,0,65,88,44,112,1,6,10,,1,1,14,8,1,01100170125567
23,01,10017,0124172,1296,766,197,0,0,1,0,162,205,134,273,1,6,10,,1,1,14,8,1,01100170124172
23,01,61119,0130609,0352,398,94,1,0,1,0,123,135,70,165,1,12,10,,1,1,6,12,1,01611190130609
23,01,61119,0130229,,1802,562,2,0,13,0,304,571,105,595,0,7,10,,,0,9,12,1,01611190130229
23,01,61119,0106401,,167,72,0,0,0,0,43,72,2,72,0,1,1,,,0,9,12,1,01611190106401
23,01,61119,6100374,,588,117,0,0,0,0,46,119,60,152,0,6,10,,,0,14,5,1,01611196100374
23,01,61119,6110779,,568,107,0,0,4,0,47,111,30,129,0,6,10,,,0,14,8,1,01611196110779
23,01,61119,6090013,,433,90,0,0,2,0,61,92,27,99,0,6,10,,,0,14,5,1,01611196090013
23,01,61119,0132142,,1158,552,3,0,12,0,318,556,87,568,0,12,10,,,0,6,12,1,01611190132142
23,01,61119,6090021,,541,117,0,0,1,0,70,118,41,132,0,6,10,,,0,14,5,1,01611196090021
23,01,61119,6090039,,285,70,0,0,2,0,46,71,29,79,0,6,10,,,0,14,5,1,01611196090039
23,01,61119,0134304,,80,52,2,0,1,0,46,54,17,57,0,2,3,2,,0,9,12,1,01611190134304
23,01,61119,6090054,,876,182,1,0,1,0,91,183,29,192,0,9,10,,,0,6,8,1,01611196090054
23,01,61119,6090047,,471,237,0,0,4,0,145,242,108,263,0,6,10,,,0,14,5,1,01611196090047
23,01,61119,0139220,,469,159,2,0,1,0,97,163,50,179,0,6,10,,,0,14,5,1,01611190139220
23,01,61119,0119222,1066,523,171,3,0,6,0,182,212,77,245,1,12,10,,1,1,14,12,1,01611190119222
23,01,61119,0000001,,27,2,0,0,0,0,5,6,2,8,,,,,,,,,1,01611190000001
23,01,61119,0111765,,425,265,3,0,12,0,189,273,91,294,0,6,10,2,,0,14,5,1,01611190111765
23,01,61119,0122085,1181,607,314,2,0,6,0,203,320,88,343,1,6,10,,1,1,14,8,1,01611190122085
23,01,61119,6090112,,610,332,2,0,9,0,212,337,69,345,0,9,10,,,0,6,8,1,01611196090112
23,01,61119,6090120,,330,132,1,0,3,0,99,137,48,151,0,6,10,,,0,14,5,1,01611196090120
23,01,61127,0130450,,1151,298,2,0,1,0,171,304,80,349,0,7,10,,,0,9,12,1,01611270130450
23,01,61127,6090161,,781,205,0,0,1,0,110,206,57,238,0,9,10,,,0,6,8,1,01611276090161
23,01,61127,6090146,,569,126,0,0,2,0,73,129,101,189,0,6,10,,,0,14,5,1,01611276090146
