year,district_code,district_name
20,64212,ABC Unified
20,61630,Acalanes Union High
20,66761,Ackerman Charter
20,75309,Acton-Agua Dulce Unified
20,67587,Adelanto Elementary
20,10017,Alameda County Office of Education
20,61119,Alameda Unified
20,61127,Albany City Unified
20,70599,Alexander Valley Union Elementary
20,75713,Alhambra Unified
20,65961,Alisal Union
20,71795,Allensworth Elementary
20,71803,Alpaugh Unified
20,10025,Alpine County Office of Education
20,61333,Alpine County Unified
20,67967,Alpine Union Elementary
20,67595,Alta Loma Elementary
20,71811,Alta Vista Elementary
20,66779,Alta-Dutch Flat Union Elementary
20,69369,Alum Rock Union Elementary
20,65177,Alview-Dairyland Union Elementary
20,61994,Alvina Elementary
20,66977,Alvord Unified
20,10033,Amador County Office of Education
20,73981,Amador County Unified
20,66423,Anaheim Elementary
20,66431,Anaheim Union High
20,69856,Anderson Union High
20,65540,Anderson Valley Unified
20,71472,Antelope Elementary
20,64246,Antelope Valley Union High
20,61648,Antioch Unified
20,75077,Apple Valley Unified
20,64261,Arcadia Unified
20,62679,Arcata Elementary
20,67280,Arcohe Union Elementary
20,65557,Arena Union Elementary
20,63875,Armona Union Elementary
20,75259,Aromas - San Juan Unified
20,63313,Arvin Union
20,68700,Atascadero Unified
20,65631,Atwater Elementary
20,66787,Auburn Union Elementary
20,64279,Azusa Unified
20,73858,Baker Valley Unified
20,63321,Bakersfield City
20,64287,Baldwin Park Unified
20,69104,Ballard Elementary
20,65649,Ballico-Cressey Elementary
20,61382,Bangor Union Elementary
20,66985,Banning Unified
20,68486,Banta Elementary
20,67611,Barstow Unified
20,65185,Bass Lake Joint Union Elementary
20,64295,Bassett Unified
20,68858,Bayshore Elementary
20,67637,Bear Valley Unified
20,63339,Beardsley Elementary
20,66993,Beaumont Unified
20,69872,Bella Vista Elementary
20,72306,Belleview Elementary
20,70615,Bellevue Union
20,64303,Bellflower Unified
20,68866,Belmont-Redwood Shores Elementary
20,63347,Belridge Elementary
20,70524,Benicia Unified
20,70623,Bennett Valley Union Elementary
20,61143,Berkeley Unified
20,69377,Berryessa Union Elementary
20,64311,Beverly Hills Unified
20,62026,Big Creek Elementary
20,62695,Big Lagoon Union Elementary
20,75184,Big Oak Flat-Groveland Unified
20,63248,Big Pine Unified
20,70185,Big Springs Union Elementary
20,75150,Big Sur Unified
20,64089,Big Valley Joint Unified
20,61408,Biggs Unified
20,76687,Bishop Unified
20,67454,Bitterwater-Tully Elementary
20,69880,Black Butte Union Elementary
20,73783,Black Oak Mine Unified
20,63354,Blake Elementary
20,69112,Blochman Union Elementary
20,62703,Blue Lake Union Elementary
20,70193,Bogus Elementary
20,65300,Bolinas-Stinson Union
20,64329,Bonita Unified
20,69732,Bonny Doon Union Elementary
