year,school_code,school_name
21,100016,Sherman Thomas Charter
21,100065,Oakland Unity High
21,100156,Lemoore University Elementary Charter
21,100289,N.E.W. Academy of Science and Arts
21,100354,Hawthorne Math and Science Academy
21,100388,Tierra Pacifica Charter
21,100602,"Lennox Mathematics, Science and Technology Academy"
21,100669,Stella Middle Charter Academy
21,100677,High Tech LA
21,100743,Accelerated Charter Elementary
21,100750,Wallis Annenberg High
21,100776,North Valley Military Institute College Preparatory Academy
21,100800,Central City Value
21,100867,KIPP Los Angeles College Preparatory
21,101048,St. HOPE Public School 7
21,101170,California Military Institute
21,101196,ICEF View Park Preparatory High
21,101204,High Tech Middle
21,101212,KIPP Summit Academy
21,101295,Sol Aureus College Preparatory
21,101337,KIPP Bayview Academy
21,101345,KIPP Adelante Preparatory Academy
21,101352,KIPP San Francisco Bay Academy
21,101360,Integrity Charter
21,101444,KIPP Academy of Opportunity
21,101477,Leadership Public Schools: Richmond
21,101535,Heritage K-8 Charter
21,101626,Edward B. Cole Academy
21,101659,"CATCH Prep Charter High, Inc."
21,101667,Wilder's Preparatory Academy Charter
21,101675,Oscar De La Hoya Animo Charter High
21,101683,Renaissance Arts Academy
21,101717,Crossroads Charter
21,101725,Grizzly ChalleNGe Charter
21,101766,Community Outreach Academy
21,101774,Five Keys Charter (SF Sheriff's)
21,101832,Futures High
21,101881,New Technology High
21,101899,George Washington Carver School of Arts and Science
21,101907,The MET
21,101923,Roseland Charter
21,101956,Aspire Benjamin Holt College Preparatory Academy
21,102038,Sacramento Charter High
21,102335,Ocean Charter
21,102343,Aspire Capitol Heights Academy
21,102384,Primary Charter
21,102392,Millennium Charter
21,102426,PUC Milagro Charter
21,102434,Animo South Los Angeles Charter
21,102442,PUC Lakeview Charter Academy
21,102483,N.E.W. Academy Canoga Park
21,102491,Dr. Theodore T. Alexander Jr. Science Center
21,102525,Rincon Valley Charter
21,102533,Santa Rosa Accelerated Charter
21,102541,New Designs Charter
21,105866,Woodland Star Charter
21,105890,Mark West Charter
21,106005,Village
21,106013,University Preparatory
21,106120,SIATech
21,106344,Northwest Prep Charter
21,106351,Ivy Academia
21,106427,Synergy Charter Academy
21,106435,Camino Nuevo Charter High
21,106518,Merced Scholars Charter
21,106534,Bullis Charter
21,106567,Nova Academy Early College High
21,106633,KIPP Heartwood Academy
21,106732,High Tech High International
21,106740,Aspen Valley Prep Academy
21,106757,Folsom Cordova K-8 Community Charter
21,106765,California Connections Academy Southern California
21,106799,Learning Choice Academy
21,106831,Animo Venice Charter High
21,106849,Animo Pat Brown
21,106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
21,106872,Bert Corona Charter
21,106880,Jardin de la Infancia
21,106898,The Language Academy of Sacramento
21,106906,Bay Area Technology
21,107110,Six Rivers Charter High
21,107128,Whitmore Charter School of Art & Technology
21,107136,Whitmore Charter High
21,107151,"Escuela Popular/Center for Training and Careers, Family Learning"
21,107227,Charter Montessori Valley View Campus
