year,cds,county_code,district_code,school_code
23,01100170130625,01,10017,0130625
23,01100170137448,01,10017,0137448
23,01100170123968,01,10017,0123968
23,01100170136101,01,10017,0136101
23,01100176001788,01,10017,6001788
23,01100170112607,01,10017,0112607
23,01100170138867,01,10017,0138867
23,01100176002000,01,10017,6002000
23,01100170131581,01,10017,0131581
23,01100170136226,01,10017,0136226
23,01100170125567,01,10017,0125567
23,01100170124172,01,10017,0124172
23,01100170000000,01,10017,0000000
23,01611190130609,01,61119,0130609
23,01611190119222,01,61119,0119222
23,01611190122085,01,61119,0122085
23,01611190000000,01,61119,0000000
23,01611270000000,01,61127,0000000
23,01611430000000,01,61143,0000000
23,01611500000000,01,61150,0000000
23,01611680000000,01,61168,0000000
23,01611760130534,01,61176,0130534
23,01611760000000,01,61176,0000000
23,01611920127944,01,61192,0127944
23,01611920137646,01,61192,0137646
23,01611920127696,01,61192,0127696
23,01611920108670,01,61192,0108670
23,01611920000000,01,61192,0000000
23,01612000000000,01,61200,0000000
23,01612180000000,01,61218,0000000
23,01612340000000,01,61234,0000000
23,01612420000000,01,61242,0000000
23,01612590111476,01,61259,0111476
23,01612590114363,01,61259,0114363
23,01612590111856,01,61259,0111856
23,01612596113807,01,61259,6113807
23,01612590115238,01,61259,0115238
23,01612596118608,01,61259,6118608
23,01612590109819,01,61259,0109819
23,01612590128413,01,61259,0128413
23,01612590118224,01,61259,0118224
23,01612590130666,01,61259,0130666
23,01612596117568,01,61259,6117568
23,01612590130732,01,61259,0130732
23,01612590106906,01,61259,0106906
23,01612590129635,01,61259,0129635
23,01612590129932,01,61259,0129932
23,01612590132514,01,61259,0132514
23,01612590115014,01,61259,0115014
23,01612590115592,01,61259,0115592
23,01612590130633,01,61259,0130633
23,01612590108944,01,61259,0108944
23,01612590134015,01,61259,0134015
23,01612590126748,01,61259,0126748
23,01612596117972,01,61259,6117972
23,01612596111660,01,61259,6111660
23,01612590114868,01,61259,0114868
23,01612590130617,01,61259,0130617
23,01612593030772,01,61259,3030772
23,01612590100065,01,61259,0100065
23,01612590000000,01,61259,0000000
23,01612750000000,01,61275,0000000
23,01612910000000,01,61291,0000000
23,01613090114421,01,61309,0114421
23,01613090101212,01,61309,0101212
23,01613090000000,01,61309,0000000
23,01750930000000,01,75093,0000000
23,01751010000000,01,75101,0000000
23,01751190000000,01,75119,0000000
23,01771800138289,01,77180,0138289
23,02100250000000,02,10025,0000000
23,02613330000000,02,61333,0000000
23,03100330000000,03,10033,0000000
23,03739810000000,03,73981,0000000
23,04100410134213,04,10041,0134213
23,04100410114991,04,10041,0114991
23,04100410430090,04,10041,0430090
23,04100410000000,04,10041,0000000
23,04613820000000,04,61382,0000000
23,04614080000000,04,61408,0000000
23,04614240141085,04,61424,0141085
23,04614246119523,04,61424,6119523
23,04614246113773,04,61424,6113773
23,04614240118042,04,61424,0118042
23,04614240120394,04,61424,0120394
23,04614240110551,04,61424,0110551
23,04614240137828,04,61424,0137828
23,04614240121475,04,61424,0121475
23,04614240123810,04,61424,0123810
23,04614240000000,04,61424,0000000
23,04614320000000,04,61432,0000000
23,04614570000000,04,61457,0000000
23,04614990000000,04,61499,0000000
23,04615070121509,04,61507,0121509
23,04615070129577,04,61507,0129577
23,04615070000000,04,61507,0000000
23,04615150000000,04,61515,0000000
23,04615230000000,04,61523,0000000
23,04615310110338,04,61531,0110338
23,04615316113765,04,61531,6113765
23,04615316112585,04,61531,6112585
23,04615316112999,04,61531,6112999
23,04615310000000,04,61531,0000000
23,04615490000000,04,61549,0000000
23,04733790000000,04,73379,0000000
23,04755070000000,04,75507,0000000
23,05100580530154,05,10058,0530154
23,05100580000000,05,10058,0000000
23,05615560000000,05,61556,0000000
23,05615640000000,05,61564,0000000
23,05615720000000,05,61572,0000000
23,05615800000000,05,61580,0000000
23,06100660000000,06,10066,0000000
23,06615980000000,06,61598,0000000
23,06616060000000,06,61606,0000000
23,06616140000000,06,61614,0000000
23,06616220000000,06,61622,0000000
23,07100740129528,07,10074,0129528
23,07100740731380,07,10074,0731380
23,07100740134114,07,10074,0134114
23,07100740730614,07,10074,0730614
23,07100740137026,07,10074,0137026
23,07100740114470,07,10074,0114470
23,07100746118368,07,10074,6118368
23,07100740129684,07,10074,0129684
23,07100740000000,07,10074,0000000
23,07616300000000,07,61630,0000000
23,07616486115703,07,61648,6115703
23,07616480115063,07,61648,0115063
23,07616480137430,07,61648,0137430
23,07616480000000,07,61648,0000000
23,07616550000000,07,61655,0000000
23,07616630130930,07,61663,0130930
23,07616630000000,07,61663,0000000
23,07616710000000,07,61671,0000000
23,07616970000000,07,61697,0000000
23,07617050000000,07,61705,0000000
23,07617130000000,07,61713,0000000
23,07617210000000,07,61721,0000000
23,07617390000000,07,61739,0000000
23,07617470000000,07,61747,0000000
23,07617546118087,07,61754,6118087
23,07617540134072,07,61754,0134072
23,07617540000000,07,61754,0000000
23,07617620000000,07,61762,0000000
23,07617700000000,07,61770,0000000
23,07617880000000,07,61788,0000000
23,07617960132100,07,61796,0132100
23,07617960132118,07,61796,0132118
23,07617960101477,07,61796,0101477
23,07617960126805,07,61796,0126805
23,07617960129643,07,61796,0129643
23,07617960110973,07,61796,0110973
23,07617960133637,07,61796,0133637
23,07617960136903,07,61796,0136903
23,07617960000000,07,61796,0000000
23,07618040000000,07,61804,0000000
23,07618120000000,07,61812,0000000
23,07773540132233,07,77354,0132233
23,08100820830059,08,10082,0830059
23,08100820000000,08,10082,0000000
23,08618200137729,08,61820,0137729
23,08618200000000,08,61820,0000000
23,09100900123521,09,10090,0123521
23,09100900930123,09,10090,0930123
23,09100900136036,09,10090,0136036
23,09100900930131,09,10090,0930131
23,09100900000000,09,10090,0000000
23,09618380137919,09,61838,0137919
23,09618380111724,09,61838,0111724
23,09618380107227,09,61838,0107227
23,09618380136200,09,61838,0136200
23,09618380139006,09,61838,0139006
23,09618380129965,09,61838,0129965
23,09618380000000,09,61838,0000000
23,09618460123125,09,61846,0123125
23,09618460000000,09,61846,0000000
23,09618530930214,09,61853,0930214
23,09618530000000,09,61853,0000000
23,09618790000000,09,61879,0000000
23,09618870000000,09,61887,0000000
23,09618950000000,09,61895,0000000
23,09619030000000,09,61903,0000000
23,09619110000000,09,61911,0000000
23,09619290000000,09,61929,0000000
23,09619450000000,09,61945,0000000
23,09619520000000,09,61952,0000000
23,09619600000000,09,61960,0000000
23,09619780000000,09,61978,0000000
23,09619860000000,09,61986,0000000
23,09737830121566,09,73783,0121566
23,09737830000000,09,73783,0000000
23,10101080119628,10,10108,0119628
23,10101080136291,10,10108,0136291
23,10101080140186,10,10108,0140186
23,10101080109991,10,10108,0109991
23,10101086085112,10,10108,6085112
23,10101080111682,10,10108,0111682
23,10101080127514,10,10108,0127514
23,10101080000000,10,10108,0000000
23,10619940000000,10,61994,0000000
23,10620260000000,10,62026,0000000
23,10620420000000,10,62042,0000000
23,10621090000000,10,62109,0000000
23,10621170118018,10,62117,0118018
23,10621170000000,10,62117,0000000
23,10621250000000,10,62125,0000000
23,10621580000000,10,62158,0000000
23,10621660133942,10,62166,0133942
23,10621660140806,10,62166,0140806
23,10621660106740,10,62166,0106740
23,10621661030840,10,62166,1030840
23,10621660140038,10,62166,0140038
23,10621660140764,10,62166,0140764
23,10621660121533,10,62166,0121533
23,10621661030642,10,62166,1030642
23,10621660114355,10,62166,0114355
23,10621660114553,10,62166,0114553
23,10621660000000,10,62166,0000000
23,10622400000000,10,62240,0000000
23,10622570000000,10,62257,0000000
23,10622650116640,10,62265,0116640
23,10622650126292,10,62265,0126292
23,10622650000000,10,62265,0000000
23,10622810000000,10,62281,0000000
23,10623230000000,10,62323,0000000
23,10623310137661,10,62331,0137661
23,10623310000000,10,62331,0000000
23,10623560000000,10,62356,0000000
23,10623640000000,10,62364,0000000
23,10623720000000,10,62372,0000000
23,10623800136499,10,62380,0136499
23,10623800000000,10,62380,0000000
23,10624141030766,10,62414,1030766
23,10624146117865,10,62414,6117865
23,10624146117873,10,62414,6117873
23,10624140000000,10,62414,0000000
23,10624300000000,10,62430,0000000
23,10625130000000,10,62513,0000000
23,10625396112387,10,62539,6112387
23,10625390000000,10,62539,0000000
23,10625470136523,10,62547,0136523
23,10625470135103,10,62547,0135103
23,10625470000000,10,62547,0000000
23,10738090000000,10,73809,0000000
23,10739650000000,10,73965,0000000
23,10739990000000,10,73999,0000000
23,10751270000000,10,75127,0000000
23,10752340000000,10,75234,0000000
23,10752750000000,10,75275,0000000
23,10754080000000,10,75408,0000000
23,10755980000000,10,75598,0000000
23,10767781030774,10,76778,1030774
23,10767780000000,10,76778,0000000
23,11101160130724,11,10116,0130724
23,11101160124909,11,10116,0124909
23,11101161130103,11,10116,1130103
23,11101160000000,11,10116,0000000
23,11625540000000,11,62554,0000000
23,11625960139550,11,62596,0139550
23,11625960000000,11,62596,0000000
23,11626380000000,11,62638,0000000
23,11626460000000,11,62646,0000000
23,11626530000000,11,62653,0000000
23,11626610000000,11,62661,0000000
23,11754810000000,11,75481,0000000
23,11765620000000,11,76562,0000000
23,12101246008221,12,10124,6008221
23,12101240134163,12,10124,0134163
23,12101240137364,12,10124,0137364
23,12101240000000,12,10124,0000000
23,12626796120562,12,62679,6120562
23,12626790109975,12,62679,0109975
23,12626790137653,12,62679,0137653
23,12626790111708,12,62679,0111708
23,12626790000000,12,62679,0000000
23,12626870124263,12,62687,0124263
23,12626870107110,12,62687,0107110
23,12626870000000,12,62687,0000000
23,12626950000000,12,62695,0000000
23,12627030000000,12,62703,0000000
23,12627290000000,12,62729,0000000
23,12627370000000,12,62737,0000000
23,12627450000000,12,62745,0000000
23,12627940000000,12,62794,0000000
23,12628100000000,12,62810,0000000
23,12628286116289,12,62828,6116289
23,12628280000000,12,62828,0000000
23,12628360000000,12,62836,0000000
23,12628510000000,12,62851,0000000
23,12628850000000,12,62885,0000000
23,12628930000000,12,62893,0000000
23,12629010000000,12,62901,0000000
23,12629190000000,12,62919,0000000
23,12629270000000,12,62927,0000000
