year,cds,county_code,district_code,school_code
21,01100170137448,01,10017,0137448
21,01100170123968,01,10017,0123968
21,01100170136101,01,10017,0136101
21,01100176001788,01,10017,6001788
21,01100170112607,01,10017,0112607
21,01100170138867,01,10017,0138867
21,01100176002000,01,10017,6002000
21,01100170131581,01,10017,0131581
21,01100170136226,01,10017,0136226
21,01100170125567,01,10017,0125567
21,01100170124172,01,10017,0124172
21,01100170000000,01,10017,0000000
21,01611190130609,01,61119,0130609
21,01611190130625,01,61119,0130625
21,01611190119222,01,61119,0119222
21,01611190122085,01,61119,0122085
21,01611190131805,01,61119,0131805
21,01611190000000,01,61119,0000000
21,01611270000000,01,61127,0000000
21,01611430000000,01,61143,0000000
21,01611500000000,01,61150,0000000
21,01611680000000,01,61168,0000000
21,01611760130534,01,61176,0130534
21,01611760000000,01,61176,0000000
21,01611920119248,01,61192,0119248
21,01611920137646,01,61192,0137646
21,01611920127696,01,61192,0127696
21,01611920108670,01,61192,0108670
21,01611920127944,01,61192,0127944
21,01611920000000,01,61192,0000000
21,01612000000000,01,61200,0000000
21,01612180000000,01,61218,0000000
21,01612340000000,01,61234,0000000
21,01612420000000,01,61242,0000000
21,01612590111476,01,61259,0111476
21,01612596113807,01,61259,6113807
21,01612590114363,01,61259,0114363
21,01612590111856,01,61259,0111856
21,01612590115238,01,61259,0115238
21,01612596118608,01,61259,6118608
21,01612590109819,01,61259,0109819
21,01612590128413,01,61259,0128413
21,01612590120188,01,61259,0120188
21,01612590118224,01,61259,0118224
21,01612590130666,01,61259,0130666
21,01612596117568,01,61259,6117568
21,01612590130732,01,61259,0130732
21,01612590106906,01,61259,0106906
21,01612590115386,01,61259,0115386
21,01612590132555,01,61259,0132555
21,01612590129635,01,61259,0129635
21,01612590129932,01,61259,0129932
21,01612590132514,01,61259,0132514
21,01612590115014,01,61259,0115014
21,01612590115592,01,61259,0115592
21,01612590130633,01,61259,0130633
21,01612590108944,01,61259,0108944
21,01612590134015,01,61259,0134015
21,01612590126748,01,61259,0126748
21,01612596117972,01,61259,6117972
21,01612596111660,01,61259,6111660
21,01612590114868,01,61259,0114868
21,01612590130617,01,61259,0130617
21,01612593030772,01,61259,3030772
21,01612590100065,01,61259,0100065
21,01612590123711,01,61259,0123711
21,01612590000000,01,61259,0000000
21,01612750000000,01,61275,0000000
21,01612910000000,01,61291,0000000
21,01613090114421,01,61309,0114421
21,01613090101212,01,61309,0101212
21,01613090000000,01,61309,0000000
21,01750930000000,01,75093,0000000
21,01751010000000,01,75101,0000000
21,01751190000000,01,75119,0000000
21,01771800138289,01,77180,0138289
21,02100250000000,02,10025,0000000
21,02613330000000,02,61333,0000000
21,03100330000000,03,10033,0000000
21,03739810000000,03,73981,0000000
21,04100410134213,04,10041,0134213
21,04100410114991,04,10041,0114991
21,04100410430090,04,10041,0430090
21,04100410000000,04,10041,0000000
21,04613820000000,04,61382,0000000
21,04614080000000,04,61408,0000000
21,04614246119523,04,61424,6119523
21,04614246113773,04,61424,6113773
21,04614240118042,04,61424,0118042
21,04614240120394,04,61424,0120394
21,04614240110551,04,61424,0110551
21,04614240137828,04,61424,0137828
21,04614240121475,04,61424,0121475
21,04614240123810,04,61424,0123810
21,04614240000000,04,61424,0000000
21,04614320000000,04,61432,0000000
21,04614570000000,04,61457,0000000
21,04614990000000,04,61499,0000000
21,04615070121509,04,61507,0121509
21,04615070129577,04,61507,0129577
21,04615070000000,04,61507,0000000
21,04615150000000,04,61515,0000000
21,04615230000000,04,61523,0000000
21,04615310110338,04,61531,0110338
21,04615316113765,04,61531,6113765
21,04615316112585,04,61531,6112585
21,04615316112999,04,61531,6112999
21,04615310000000,04,61531,0000000
21,04615490000000,04,61549,0000000
21,04733790000000,04,73379,0000000
21,04755070000000,04,75507,0000000
21,05100580530154,05,10058,0530154
21,05100580000000,05,10058,0000000
21,05615560000000,05,61556,0000000
21,05615640000000,05,61564,0000000
21,05615720000000,05,61572,0000000
21,05615800000000,05,61580,0000000
21,06100660000000,06,10066,0000000
21,06615980000000,06,61598,0000000
21,06616060000000,06,61606,0000000
21,06616140000000,06,61614,0000000
21,06616220000000,06,61622,0000000
21,07100740129528,07,10074,0129528
21,07100740731380,07,10074,0731380
21,07100740134114,07,10074,0134114
21,07100740730614,07,10074,0730614
21,07100740137026,07,10074,0137026
21,07100740114470,07,10074,0114470
21,07100746118368,07,10074,6118368
21,07100740129684,07,10074,0129684
21,07100740000000,07,10074,0000000
21,07616300000000,07,61630,0000000
21,07616486115703,07,61648,6115703
21,07616480115063,07,61648,0115063
21,07616480137430,07,61648,0137430
21,07616480000000,07,61648,0000000
21,07616550000000,07,61655,0000000
21,07616630130930,07,61663,0130930
21,07616630000000,07,61663,0000000
21,07616710000000,07,61671,0000000
21,07616970000000,07,61697,0000000
21,07617050000000,07,61705,0000000
21,07617130000000,07,61713,0000000
21,07617210000000,07,61721,0000000
21,07617390000000,07,61739,0000000
21,07617470000000,07,61747,0000000
21,07617546118087,07,61754,6118087
21,07617540000000,07,61754,0000000
21,07617620000000,07,61762,0000000
21,07617700000000,07,61770,0000000
21,07617880000000,07,61788,0000000
21,07617960132100,07,61796,0132100
21,07617960132118,07,61796,0132118
21,07617960101477,07,61796,0101477
21,07617960126805,07,61796,0126805
21,07617960129643,07,61796,0129643
21,07617960110973,07,61796,0110973
21,07617960133637,07,61796,0133637
21,07617960136903,07,61796,0136903
21,07617960000000,07,61796,0000000
21,07618040000000,07,61804,0000000
21,07618120000000,07,61812,0000000
21,07770240134072,07,77024,0134072
21,07773540132233,07,77354,0132233
21,08100820830059,08,10082,0830059
21,08100820000000,08,10082,0000000
21,08618200137729,08,61820,0137729
21,08618200000000,08,61820,0000000
21,09100900123521,09,10090,0123521
21,09100900930123,09,10090,0930123
21,09100900136036,09,10090,0136036
21,09100900930131,09,10090,0930131
21,09100900000000,09,10090,0000000
21,09618380137919,09,61838,0137919
21,09618380111724,09,61838,0111724
21,09618380107227,09,61838,0107227
21,09618380136200,09,61838,0136200
21,09618380139006,09,61838,0139006
21,09618380129965,09,61838,0129965
21,09618380000000,09,61838,0000000
21,09618460123125,09,61846,0123125
21,09618460000000,09,61846,0000000
21,09618530930214,09,61853,0930214
21,09618530000000,09,61853,0000000
21,09618790000000,09,61879,0000000
21,09618870000000,09,61887,0000000
21,09618950000000,09,61895,0000000
21,09619030000000,09,61903,0000000
21,09619110000000,09,61911,0000000
21,09619290000000,09,61929,0000000
21,09619450000000,09,61945,0000000
21,09619520000000,09,61952,0000000
21,09619600000000,09,61960,0000000
21,09619780000000,09,61978,0000000
21,09619860000000,09,61986,0000000
21,09737830121566,09,73783,0121566
21,09737830000000,09,73783,0000000
21,10101080119628,10,10108,0119628
21,10101080136291,10,10108,0136291
21,10101080140186,10,10108,0140186
21,10101080109991,10,10108,0109991
21,10101086085112,10,10108,6085112
21,10101080111682,10,10108,0111682
21,10101080127514,10,10108,0127514
21,10101080000000,10,10108,0000000
21,10619940000000,10,61994,0000000
21,10620260000000,10,62026,0000000
21,10620420000000,10,62042,0000000
21,10621090000000,10,62109,0000000
21,10621170118018,10,62117,0118018
21,10621170000000,10,62117,0000000
