year,school_code,school_name
24,100016,Sherman Thomas Charter
24,100065,Oakland Unity High
24,100156,Lemoore University Elementary Charter
24,100289,N.E.W. Academy of Science and Arts
24,100354,Hawthorne Math and Science Academy
24,100388,Tierra Pacifica Charter
24,100602,"Lennox Mathematics, Science and Technology Academy"
24,100669,Stella Middle Charter Academy
24,100677,High Tech LA
24,100743,Accelerated Charter Elementary
24,100750,Wallis Annenberg High
24,100800,Central City Value
24,100867,KIPP Los Angeles College Preparatory
24,101048,St. HOPE Public School 7
24,101170,California Military Institute
24,101196,ICEF View Park Preparatory High
24,101204,High Tech Middle
24,101212,KIPP Summit Academy
24,101295,Sol Aureus College Preparatory
24,101337,KIPP Bayview Academy
24,101345,KIPP Adelante Preparatory Academy
24,101352,KIPP San Francisco Bay Academy
24,101360,Integrity Charter
24,101444,KIPP Academy of Opportunity
24,101477,Leadership Public Schools: Richmond
24,101535,Heritage K-8 Charter
24,101626,Edward B. Cole Academy
24,101659,"CATCH Prep Charter High, Inc."
24,101667,Wilder's Preparatory Academy Charter
24,101675,Oscar De La Hoya Animo Charter High
24,101683,Renaissance Arts Academy
24,101717,Crossroads Charter Academy
24,101725,Grizzly ChalleNGe Charter
24,101766,Community Outreach Academy
24,101774,Five Keys Charter (SF Sheriff's)
24,101832,Futures High
24,101881,New Technology High
24,101899,George Washington Carver School of Arts and Science
24,101907,The MET
24,101923,Roseland Charter
24,101956,Aspire Benjamin Holt College Preparatory Academy
24,102038,Sacramento Charter High
24,102335,Ocean Charter
24,102343,Aspire Capitol Heights Academy
24,102384,Primary Charter
24,102392,Millennium Charter
24,102426,PUC Milagro Charter
24,102434,Animo South Los Angeles Charter
24,102442,PUC Lakeview Charter Academy
24,102483,N.E.W. Academy Canoga Park
24,102491,Dr. Theodore T. Alexander Jr. Science Center
24,102525,Spring Lake Charter
24,102533,Santa Rosa Accelerated Charter
24,102541,New Designs Charter
24,105866,Woodland Star Charter
24,105890,Mark West Charter
24,106005,Village
24,106013,University Preparatory
24,106120,SIATech
24,106344,Northwest Prep Charter
24,106351,Ivy Academia
24,106427,Synergy Charter Academy
24,106518,Merced Scholars Charter
24,106534,Bullis Charter
24,106567,Nova Academy Early College High
24,106633,KIPP Heartwood Academy
24,106732,High Tech High International
24,106740,Aspen Valley Prep Academy
24,106757,Folsom Cordova K-8 Community Charter
24,106765,California Connections Academy Southern California
24,106799,Learning Choice Academy
24,106831,Animo Venice Charter High
24,106849,Animo Pat Brown
24,106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
24,106872,Bert Corona Charter
24,106880,Jardin de la Infancia
24,106898,The Language Academy of Sacramento
24,106906,Bay Area Technology
24,107110,Six Rivers Charter High
24,107128,Whitmore Charter School of Art & Technology
24,107136,Whitmore Charter High
24,107151,"Escuela Popular/Center for Training and Careers, Family Learning"
24,107227,Charter Montessori Valley View Campus
24,107284,California Virtual Academy @ Sonoma
24,107300,City Arts & Leadership Academy
24,107318,Twin Rivers Charter
24,107508,Century Community Charter
24,107516,Summit Leadership Academy-High Desert
24,107573,High Tech Middle Media Arts
24,107730,ASA Charter
24,107755,Port of Los Angeles High
24,107938,Ezequiel Tafoya Alvarado Academy
24,108340,Lake County International Charter
24,108415,Heritage Peak Charter
24,108548,Iftin Charter
24,108563,EJE Elementary Academy Charter
24,108605,Stone Bridge
24,108647,Aspire Rosa Parks Academy
24,108670,Leadership Public Schools - Hayward
24,108787,High Tech High Media Arts
24,108795,Creative Connections Arts Academy
24,108837,Community Collaborative Charter
24,108860,Westlake Charter
24,108878,CHAMPS - Charter HS of Arts-Multimedia & Performing
24,108886,Gabriella Charter
24,108894,Alliance Judy Ivie Burton Technology Academy High
24,108910,ISANA Nascent Academy
24,108928,Larchmont Charter
24,108936,Alliance Collins Family College-Ready High
24,108944,Lighthouse Community Charter High
24,109009,Summit Charter Academy
24,109033,King-Chavez Arts and Athletics Academy
24,109066,Orange County Educational Arts Academy
24,109157,Magnolia Science Academy San Diego
24,109660,Aspire Antonio Maria Lugo Academy
24,109751,Visalia Charter Independent Study
24,109793,South Sutter Charter
24,109819,Aspire Berkley Maynard Academy
24,109827,Newcastle Charter
24,109843,Santa Rosa Academy
24,109850,Public Safety Academy
24,109884,James Jordan Middle
24,109900,Vista Real Charter High
24,109926,Academia Avance Charter
24,109934,Our Community Charter
24,109942,Los Angeles College Prep Academy
24,109975,Fuente Nueva Charter
24,109991,Crescent View West Public Charter
24,110007,Ocean Grove Charter
24,110205,Lemoore Middle College High
24,110304,Los Angeles Academy of Arts and Enterprise
24,110338,Achieve Charter School of Paradise Inc.
24,110551,Nord Country
24,110833,River Springs Charter
24,110973,Richmond College Preparatory
24,111195,Classical Academy High
24,111203,Alder Grove Charter School 2
24,111211,New Heights Charter
24,111336,Pittman Charter
24,111476,Achieve Academy
24,111484,New Village Girls Academy
24,111492,Alliance Patti And Peter Neuwirth Leadership Academy
24,111500,Alliance Dr. Olga Mohan High
24,111518,Alliance Jack H. Skirball Middle
24,111575,Animo Ralph Bunche Charter High
24,111583,Animo Jackie Robinson High
24,111625,Animo Watts College Preparatory Academy
24,111641,Alliance Ouchi-O'Donovan 6-12 Complex
24,111658,Alliance Marc & Eva Stern Math and Science
24,111674,Chrysalis Charter
24,111682,Hume Lake Charter
24,111708,Union Street Charter
24,111724,California Montessori Project-Shingle Springs Campus
24,111732,California Montessori Project - Elk Grove Campus
24,111757,California Montessori Project - Capitol Campus
24,111773,Family Partnership Charter
24,111856,AIMS College Prep High
24,111880,Discovery Charter
24,111898,Albert Einstein Academies
24,111906,King-Chavez Preparatory Academy
24,112060,Hesby Oaks Leadership Charter
24,112128,Aspire Ollin University Preparatory Academy
24,112169,California Montessori Project-San Juan Campuses
24,112177,Monterey Bay Charter
24,112201,PUC Excel Charter Academy
24,112235,California Creative Learning Academy
24,112276,Gold Rush Home Study Charter
24,112284,California Virtual Academy San Mateo
24,112292,Aspire Summit Charter Academy
24,112300,La Vida Charter
24,112383,Paradise Charter
24,112417,Ventura Charter School of Arts and Global Education
24,112425,Natomas Pacific Pathways Prep
24,112441,Pathways to College K8
24,112458,California Connections Academy Central Valley
24,112508,Stella High Charter Academy
24,112607,Envision Academy for Arts & Technology
24,112698,California Virtual Academy at Kings
24,112706,California Virtual Academy @ Los Angeles
24,112714,Antelope Valley Learning Academy
24,112722,Summit Preparatory Charter High
24,112987,Forestville Academy
24,113407,Rocky Point Charter
24,113431,University Preparatory Academy Charter
24,113464,Aveson Global Leadership Academy
24,113472,Aveson School of Leaders
24,113530,Santa Rosa Charter School for the Arts
24,113662,Voices College-Bound Language Academy
24,113704,Rocketship Mateo Sheedy Elementary
24,113852,Riverbank Language Academy
24,113878,Higher Learning Academy
24,113894,Pasadena Rosebud Academy
24,113928,Riverside Preparatory
24,114256,Inland Leaders Charter
24,114264,North County Trade Tech High
24,114272,SAVA - Sacramento Academic and Vocational Academy
24,114314,Bitney Prep High
24,114322,Yuba River Charter
24,114330,Nevada City School of the Arts
24,114348,Butterfield Charter
24,114355,Sierra Charter
24,114363,American Indian Public Charter School II
24,114389,Mirus Secondary
24,114421,KIPP King Collegiate High
24,114439,Mission View Public
24,114462,Health Sciences High and Middle College
24,114470,Making Waves Academy
24,114553,University High
24,114660,Delta Elementary Charter
24,114678,High Tech High Chula Vista
24,114694,High Tech High North County
24,114868,Oakland Charter High
24,114876,Aspire Port City Academy
24,114884,Aspire Junior Collegiate Academy
24,114934,Village Charter
24,114959,Monsenor Oscar Romero Charter Middle
24,114967,Global Education Academy
24,114983,Golden Valley River
24,114991,CORE Butte Charter
24,115014,KIPP Bridge Academy
24,115030,Magnolia Science Academy 3
24,115048,Fenton Primary Center
24,115055,River Oak Charter
24,115063,Antioch Charter Academy II
24,115089,Sky Mountain Charter
24,115105,Camarillo Academy of Progressive Education
24,115113,"Ivy Bound Academy of Math, Science, and Technology Charter Middle"
24,115139,Center for Advanced Learning
24,115154,Trillium Charter
24,115170,School of Extended Educational Options
24,115212,Magnolia Science Academy 2
24,115238,ARISE High
24,115253,Discovery Charter Preparatory #2
24,115287,ICEF Vista Middle Academy
24,115469,Vallejo Charter
24,115592,Learning Without Limits
24,115725,Lifeline Education Charter
24,115808,Norton Science and Language Academy
24,116434,Orcutt Academy Charter
24,116491,Open Door Charter
24,116509,Alliance Morgan McKinzie High
24,116590,Harmony Magnet Academy
24,116640,Kings Canyon Online
24,116707,Encore Jr./Sr. High School for the Performing and Visual Arts
24,116723,Academy of Careers and Exploration
24,116814,ACE Empower Academy
24,116822,Wilder's Preparatory Academy Charter Middle
24,116889,KIPP San Jose Collegiate
24,116921,Manzanita Public Charter
24,117036,Enadia Way Technology Charter
24,117150,Loomis Basin Charter
24,117168,Golden Eagle Charter
24,117184,Madera County Independent Academy
24,117192,SOAR Charter Academy
24,117234,Santa Clarita Valley International
24,117242,Yuba Environmental Science Charter Academy
24,117457,Great Valley Academy
24,117598,Alliance Piera Barbaglia Shaheen Health Services Academy
24,117606,Alliance Leichtman-Levine Family Foundation Environmental Science High
24,117614,New Los Angeles Charter
24,117622,Magnolia Science Academy 4
24,117648,Magnolia Science Academy 6
24,117655,Magnolia Science Academy 7
24,117796,New Jerusalem
24,117804,Ceiba College Preparatory Academy
24,117846,Para Los Niños Middle
24,117853,Dr. Lewis Dolphin Stallworth Sr. Charter
24,117879,Maria Montessori Charter Academy
24,117895,Synergy Kinetic Academy
24,117903,KIPP Raices Academy
24,117911,New Millennium Secondary
24,117937,ICEF Vista Elementary Academy
24,117952,ICEF Innovation Los Angeles Charter
24,117978,Goethe International Charter
24,117994,YouthBuild Charter School of California
24,118018,Clovis Online Charter
24,118042,Forest Ranch Charter
24,118059,LaVerne Elementary Preparatory Academy
24,118075,Learning Works
24,118083,Innovations Academy
24,118141,Five Keys Independence HS (SF Sheriff's)
24,118224,Aspire Golden State College Preparatory Academy
24,118349,Big Sur Charter
24,118455,Ballington Academy for the Arts and Sciences
24,118497,Aspire Langston Hughes Academy
24,118588,Alain Leroy Locke College Preparatory Academy
24,118760,Barack Obama Charter
24,118851,King-Chavez Community High
24,118950,Sherman Thomas Charter High
24,119016,Da Vinci Science
24,119024,Rocketship Si Se Puede Academy
24,119222,Nea Community Learning Center
24,119255,EJE Middle Academy
24,119271,High Tech Middle North County
24,119487,Western Sierra Collegiate Academy
24,119503,Everest Public High
24,119578,Da Vinci Charter Academy
24,119594,Leonardo da Vinci Health Sciences Charter
24,119602,University Preparatory High
24,119610,Gompers Preparatory Academy
24,119628,Big Picture Educational Academy
24,119636,Da Vinci Design
24,119669,Wonderful College Prep Academy
24,119743,Stockton Early College Academy
24,119750,River Montessori Elementary Charter
24,119982,Equitas Academy Charter
24,120006,New Vision Middle
24,120014,KIPP Endeavor College Preparatory Charter
24,120022,Valor Academy Middle
24,120030,Alliance College-Ready Middle Academy 4
24,120071,New Designs Charter School-Watts
24,120089,Gratton Charter
24,120097,Academia Moderna
24,120105,Creekside Charter
24,120113,Natomas Pacific Pathways Prep Middle
24,120139,Nueva Vista Language Academy
24,120204,Sycamore Academy of Science and Cultural Arts
24,120212,Aspire Vanguard College Preparatory Academy
24,120303,ICEF Inglewood Elementary Charter Academy
24,120394,Inspire School of Arts and Sciences
24,120469,Aspire Alexander Twilight College Preparatory Academy
24,120477,Aspire Titan Academy
24,120527,Watts Learning Center Charter Middle
24,120568,Options for Youth-San Bernardino
24,120600,iQ Academy California-Los Angeles
24,120634,"Architecture, Construction & Engineering Charter High (ACE)"
24,120642,Rocketship Los Suenos Academy
24,120659,Visalia Technical Early College
24,120675,Western Center Academy
24,120717,one.Charter
24,120725,Stockton Collegiate International Elementary
24,120733,Stockton Collegiate International Secondary
24,121079,Ararat Charter
24,121137,Ingenium Charter
24,121285,Alliance Cindy and Bill Simon Technology Academy High
24,121293,Alliance Tennenbaum Family Technology High
24,121343,iEmpire Academy
24,121418,John Adams Academy - Roseville
24,121426,IvyTech Charter
24,121467,Aspire Alexander Twilight Secondary Academy
24,121475,Sherwood Montessori
24,121483,Alpha: Cornerstone Academy Preparatory
24,121509,Ipakanni Early College Charter
24,121525,Roberts Ferry Charter School Academy
24,121533,Morris E. Dailey Charter Elementary
24,121541,Aspire APEX Academy
24,121558,Shiloh Charter
24,121566,American River Charter
24,121608,Harvest Ridge Cooperative Charter
24,121624,Sierra Expeditionary Learning
24,121632,Paragon Collegiate Academy
24,121640,Cottonwood Creek Charter
24,121657,Mt. Lassen Charter
24,121665,Yav Pem Suab Academy - Preparing for the Future Charter
24,121673,NOVA Academy - Coachella
24,121681,San Diego Global Vision Academy
24,121699,KIPP Empower Academy
24,121707,KIPP Comienza Community Prep
