year,cds,county_code,district_code,school_code
20,01100170112607,01,10017,0112607
20,01100170123968,01,10017,0123968
20,01100170124172,01,10017,0124172
20,01100170125567,01,10017,0125567
20,01100170129403,01,10017,0129403
20,01100170130401,01,10017,0130401
20,01100170130419,01,10017,0130419
20,01100170131581,01,10017,0131581
20,01100170136101,01,10017,0136101
20,01100170136226,01,10017,0136226
20,01100170137448,01,10017,0137448
20,01100170138867,01,10017,0138867
20,01100176001788,01,10017,6001788
20,01100176002000,01,10017,6002000
20,01611190000001,01,61119,0000001
20,01611190106401,01,61119,0106401
20,01611190111765,01,61119,0111765
20,01611190119222,01,61119,0119222
20,01611190122085,01,61119,0122085
20,01611190130229,01,61119,0130229
20,01611190130609,01,61119,0130609
20,01611190130625,01,61119,0130625
20,01611190131805,01,61119,0131805
20,01611190132142,01,61119,0132142
20,01611190134304,01,61119,0134304
20,01611190139220,01,61119,0139220
20,01611196090013,01,61119,6090013
20,01611196090021,01,61119,6090021
20,01611196090039,01,61119,6090039
20,01611196090047,01,61119,6090047
20,01611196090054,01,61119,6090054
20,01611196090112,01,61119,6090112
20,01611196090120,01,61119,6090120
20,01611196100374,01,61119,6100374
20,01611196110779,01,61119,6110779
20,01611270000001,01,61127,0000001
20,01611270130294,01,61127,0130294
20,01611270130450,01,61127,0130450
20,01611276090146,01,61127,6090146
20,01611276090161,01,61127,6090161
20,01611276095376,01,61127,6095376
20,01611276116222,01,61127,6116222
20,01611430000001,01,61143,0000001
20,01611430131177,01,61143,0131177
20,01611430134924,01,61143,0134924
20,01611436056857,01,61143,6056857
20,01611436056865,01,61143,6056865
20,01611436090187,01,61143,6090187
20,01611436090195,01,61143,6090195
20,01611436090211,01,61143,6090211
20,01611436090252,01,61143,6090252
20,01611436090278,01,61143,6090278
20,01611436090286,01,61143,6090286
20,01611436090294,01,61143,6090294
20,01611436090302,01,61143,6090302
20,01611436090310,01,61143,6090310
20,01611436090328,01,61143,6090328
20,01611436097729,01,61143,6097729
20,01611436105316,01,61143,6105316
20,01611500000001,01,61150,0000001
20,01611500130047,01,61150,0130047
20,01611500132225,01,61150,0132225
20,01611500133876,01,61150,0133876
20,01611500135533,01,61150,0135533
20,01611506090351,01,61150,6090351
20,01611506090369,01,61150,6090369
20,01611506090385,01,61150,6090385
20,01611506090393,01,61150,6090393
20,01611506090401,01,61150,6090401
20,01611506090419,01,61150,6090419
20,01611506090435,01,61150,6090435
20,01611506090468,01,61150,6090468
20,01611506090484,01,61150,6090484
20,01611506097653,01,61150,6097653
20,01611506113005,01,61150,6113005
20,01611680132746,01,61168,0132746
20,01611686090492,01,61168,6090492
20,01611760000001,01,61176,0000001
20,01611760127233,01,61176,0127233
20,01611760130062,01,61176,0130062
20,01611760130138,01,61176,0130138
20,01611760130435,01,61176,0130435
20,01611760130534,01,61176,0130534
20,01611760134270,01,61176,0134270
20,01611760134452,01,61176,0134452
20,01611760135244,01,61176,0135244
20,01611760138693,01,61176,0138693
20,01611766000541,01,61176,6000541
20,01611766000558,01,61176,6000558
20,01611766000566,01,61176,6000566
20,01611766000590,01,61176,6000590
20,01611766000624,01,61176,6000624
20,01611766000640,01,61176,6000640
20,01611766000665,01,61176,6000665
20,01611766000673,01,61176,6000673
20,01611766000681,01,61176,6000681
20,01611766000715,01,61176,6000715
20,01611766000723,01,61176,6000723
20,01611766000749,01,61176,6000749
20,01611766000756,01,61176,6000756
20,01611766000764,01,61176,6000764
20,01611766000798,01,61176,6000798
20,01611766000806,01,61176,6000806
20,01611766000830,01,61176,6000830
20,01611766000848,01,61176,6000848
20,01611766056873,01,61176,6056873
20,01611766056881,01,61176,6056881
20,01611766056907,01,61176,6056907
20,01611766056915,01,61176,6056915
20,01611766056923,01,61176,6056923
20,01611766066468,01,61176,6066468
