year,school_code,school_name
20,1,"Nonpublic, Nonsectarian Schools"
20,100016,Sherman Thomas Charter
20,100024,Oak Meadow Elementary
20,100040,Robert L. McCaffrey Middle
20,100057,Plumas County Community
20,100065,Oakland Unity High
20,100081,William J. (Pete) Knight High
20,100107,Vista Grande Elementary
20,100115,Montera Elementary
20,100156,Lemoore University Elementary Charter
20,100164,Dr. Reynaldo J. Carreon Jr. Academy
20,100180,Mountain Oaks High
20,100198,Golden Valley High
20,100206,George W. Bush Elementary
20,100248,Las Palmitas Elementary
20,100255,Desert Mirage High
20,100263,Toro Canyon Middle
20,100289,N.E.W. Academy of Science and Arts
20,100305,Santa Cruz County Cypress Charter High
20,100347,Almond Elementary
20,100354,Hawthorne Math and Science Academy
20,100362,Thurgood Marshall Elementary
20,100388,Tierra Pacifica Charter
20,100404,Sandra J. Gallardo Elementary
20,100412,Monte Vista Elementary
20,100420,Vista Murrieta High
20,100461,Lone Tree Elementary
20,100479,Dallas Ranch Middle
20,100487,Norwood Junior High
20,100495,Los Tules Middle
20,100503,Freedom Crest Elementary
20,100511,Lilac
20,100529,Cesar E. Chavez High
20,100537,Andros Karperos
20,100545,Lake Mathews Elementary
20,100560,Lois E. Borchardt Elementary
20,100578,Edwin Rhodes Elementary
20,100586,Michael G. Wickman Elementary
20,100594,Liberty Elementary
20,100602,"Lennox Mathematics, Science and Technology Academy"
20,100610,Dolores Huerta Elementary
20,100636,Pico Canyon Elementary
20,100644,Dr. J. Michael McGrath Elementary
20,100651,Mission Valley
20,100669,Stella Middle Charter Academy
20,100677,High Tech LA
20,100685,Valle Verde Elementary
20,100701,MetWest High
20,100735,Canyon Vista Elementary
20,100743,Accelerated Charter Elementary
20,100750,Wallis Annenberg High
20,100776,North Valley Military Institute College Preparatory Academy
20,100792,Think College Now
20,100800,Central City Value
20,100867,KIPP Los Angeles College Preparatory
20,100883,Vista del Mar Elementary
20,100891,Vista del Mar Middle
20,100909,Ladera Ranch Elementary
20,100917,Ladera Ranch Middle
20,100925,T.H.E Leadership Academy
20,100933,Hannalei Elementary
20,100941,Lakeside Middle
20,100958,Sierra Vista Elementary
20,100966,El Cerrito Middle
20,100974,Clara Barton Elementary
20,100982,Temescal Valley Elementary
20,100990,Solorsano Middle
20,101006,Sundance Elementary
20,101014,McKee Middle
20,101022,Rio Norte Junior High
20,101030,Fox Road Elementary
20,101048,St. HOPE Public School 7
20,101097,French Valley Elementary
20,101105,Erle Stanley Gardner Middle
20,101113,Columbia-East Valley K-6 Community Day
20,101121,McSweeny Elementary
20,101139,Harmony Elementary
20,101147,Grace Hudson Elementary
20,101154,Alice C. Stelle Middle
20,101162,Pioneer High
20,101170,California Military Institute
20,101188,Hunt Elementary
20,101196,ICEF View Park Preparatory High
20,101204,High Tech Middle
20,101212,KIPP Summit Academy
20,101253,Jack London Elementary
20,101295,Sol Aureus College Preparatory
20,101303,Earlimart Community Day
20,101329,William J. Johnston Community Day
20,101337,KIPP Bayview Academy
20,101345,KIPP Adelante Preparatory Academy
20,101352,KIPP San Francisco Bay Academy
20,101360,Integrity Charter
20,101378,Las Colinas Middle
20,101402,Atwater Senior Academy
20,101410,Oak View High School & Education Center
20,101444,KIPP Academy of Opportunity
20,101477,Leadership Public Schools: Richmond
20,101485,Pioneer Community Day
20,101493,Norman N. Glick Middle
20,101519,Pleasant Grove Middle
20,101535,Heritage K-8 Charter
20,101543,Esperanza Elementary
20,101568,Harvest Middle
20,101576,Weston Ranch High
20,101592,Hedenkamp (Anne and William) Elementary
20,101600,Northlake Hills Elementary
20,101618,Richard Riordan Primary Center
20,101626,Edward B. Cole Academy
20,101659,"CATCH Prep Charter High, Inc."
20,101667,Wilder's Preparatory Academy Charter
20,101675,Oscar De La Hoya Animo Charter High
20,101683,Renaissance Arts Academy
20,101717,Crossroads Charter
20,101725,Grizzly ChalleNGe Charter
20,101766,Community Outreach Academy
20,101774,Five Keys Charter (SF Sheriff's)
20,101790,Edna Batey Elementary
20,101816,Green Valley Independent Study
20,101832,Futures High
20,101857,Oak Grove Elementary
20,101881,New Technology High
20,101899,George Washington Carver School of Arts and Science
20,101907,The MET
20,101923,Roseland Charter
20,101949,Clovis Community Day Elementary
20,101956,Aspire Benjamin Holt College Preparatory Academy
20,101964,Napa Valley Independent Studies
20,101972,Rosemont High
20,101980,Farragut Academy
20,102012,Dixon Community Day
20,102038,Sacramento Charter High
20,102079,Murrieta Canyon Academy
20,102103,Jordan (June) School for Equity
20,102129,Carpinteria Family
20,102137,Aggeler Community Day
20,102178,Future Bound Independent Study Secondary
20,102186,Ronald Reagan Academy
20,102236,Inderkum High
20,102269,Yellen Learning Center
20,102277,Witter Ranch Elementary
20,102285,Pioneer Valley High
20,102293,Foresthill High
20,102301,Woodson Elementary
20,102327,Plumas Avenue Elementary
20,102335,Ocean Charter
20,102343,Aspire Capitol Heights Academy
20,102368,Ann Sobrato High
20,102376,Pioneer Elementary
20,102384,Primary Charter
20,102392,Millennium Charter
20,102426,PUC Milagro Charter
20,102434,Animo South Los Angeles Charter
20,102442,PUC Lakeview Charter Academy
20,102459,Golden Valley High
20,102467,Rancho Pico Junior High
20,102475,West Ranch High
20,102483,N.E.W. Academy Canoga Park
20,102491,Dr. Theodore T. Alexander Jr. Science Center
20,102509,Wayne Ruble Middle
20,102517,Dorothy Grant Innovations Academy
20,102525,Rincon Valley Charter
20,102533,Santa Rosa Accelerated Charter
20,102541,New Designs Charter
20,102558,Beattie Middle
20,102566,Hidden Hills Elementary
20,102574,Santa Fe Elementary
20,102582,Robert C. Fisler Elementary
20,102590,Bear Valley Middle
20,102608,Farr Avenue Elementary
20,102616,Carolyn A. Clark Elementary
20,102624,Lorena Falasco Elementary
20,102632,Ansel Adams
20,102640,Millswood Middle
20,102657,Christa McAuliffe Middle
20,102665,Radcliff Elementary
20,102673,Landmark Elementary
20,102681,Leona Jackson
20,102707,John F. Kennedy Elementary
20,102715,Estudillo Elementary
20,102723,"Clayton A. Record, Jr., Elementary"
20,102731,TownGate Elementary
20,102749,Brookside Elementary
20,102764,Richard A. Alonzo Community Day
20,102772,Cawston Elementary
20,102780,Diamond Valley Middle
20,102798,Thomas Jefferson Elementary
20,102806,Blue Oaks Elementary
20,102822,Stone Ranch Elementary
20,102830,Wilmer Amina Carter High
20,102848,Sanchez (David J.) Elementary
20,102855,Kunst (Tommie) Junior High
20,102863,Liberty Elementary
20,102871,Arnold O. Beckman High
20,102889,Hicks Canyon Elementary
20,102897,Melrose Elementary
20,102913,Middle College High
20,102921,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy
20,102939,Etiwanda Colony Elementary
20,102947,Day Creek Intermediate
20,102988,EnCompass Academy Elementary
20,105684,San Elijo Middle
20,105692,A. L. Conner Elementary
20,105700,Mary Lou Dieterich Elementary
20,105718,Anthony C. Traina Elementary
20,105726,Mission Hills High
20,105734,Great Oak High
20,105742,Alamos Elementary
20,105759,Bella Vista Middle
20,105767,Rio Vista Elementary
20,105783,Four Creeks Elementary
20,105791,Dwight D. Eisenhower Elementary
20,105809,Harada Elementary
20,105817,Harmony Elementary
20,105825,Solana Pacific Elementary
20,105858,Pajaro Valley High
20,105866,Woodland Star Charter
20,105874,Ortega Elementary
20,105882,Foothill Oak Elementary
20,105890,Mark West Charter
20,105908,Arlene Hein Elementary
20,105916,Monterey Trail High
20,105924,"Edward Harris, Jr. Middle"
20,105932,Roy Herburger Elementary
20,105940,Alessandro
20,105957,Liberty Elementary
20,105965,Salt Creek Elementary
20,105973,Walter Woodward Elementary
20,105981,"Desert Willow Fine Arts, Science and Technology Magnet Academy"
20,106005,Village
20,106013,University Preparatory
20,106021,Freedom Elementary
20,106047,Blue Ridge
20,106062,San Gorgonio Middle
20,106070,Endeavour Middle
20,106088,Delta View Elementary
20,106096,Columbia Elementary
20,106112,Pinnacles High
20,106120,SIATech
20,106153,Eel River Community
20,106161,Eureka Community
20,106179,Southern Humboldt Community
20,106195,Humboldt County Office of Education Court
20,106203,Humboldt County Office of Education Juvenile Hall Court
20,106229,Palmiter Special Education
20,106237,Elinor Lincoln Hickey Jr./Sr. High
20,106245,North Area Community
20,106278,El Centro Jr./Sr. High
20,106294,Sacramento County SH Special Education
20,106302,Sacramento County ED Special Education
20,106328,Canyon Crest Academy
20,106336,Frank Ledesma Elementary
20,106344,Northwest Prep Charter
20,106351,Ivy Academia
20,106401,Alameda Science and Technology Institute
20,106419,James S. Fugman Elementary
20,106427,Synergy Charter Academy
20,106435,Camino Nuevo Charter High
20,106443,Twelve Bridges Elementary
20,106450,Regency Park Elementary
20,106476,James K. Polk Elementary
20,106484,Wicklund Elementary
20,106518,Merced Scholars Charter
20,106534,Bullis Charter
20,106542,Community Day High
20,106567,Nova Academy Early College High
20,106575,Harvest Elementary
