year,school_type,school_type_num
22,Alternative Schools of Choice,1
22,Continuation High Schools,2
22,County Community,3
22,District Community Day Schools,4
22,Elemen Schools In 1 School Dist. (Public),5
22,Elementary Schools (Public),6
22,High Schools (Public),7
22,High Schools In 1 School Dist. (Public),8
22,Intermediate/Middle Schools (Public),9
22,Junior High Schools (Public),10
22,Juvenile Court Schools,11
22,K-12 Schools (Public),12
22,Opportunity Schools,13
22,Special Education Schools (Public),14
22,Preschool,15
