year,school_type,school_type_num
20,Alternative Schools of Choice,1
20,Continuation High Schools,2
20,County Community,3
20,District Community Day Schools,4
20,Elemen Schools In 1 School Dist. (Public),5
20,Elementary Schools (Public),6
20,High Schools (Public),7
20,High Schools In 1 School Dist. (Public),8
20,Intermediate/Middle Schools (Public),9
20,Junior High Schools (Public),10
20,Juvenile Court Schools,11
20,K-12 Schools (Public),12
20,Opportunity Schools,13
20,Special Education Schools (Public),14
20,Preschool,15
