year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,01,10017,0000000,Alameda,Alameda County Office of Education,,County Office of Education (COE),,,,,,,,,,214,73,20,15,0,118,171,44,199,Y,,,,,,,,,1,01100170000000
20,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0811,Directly funded,Y,6,12,412,276,4,0,0,170,295,70,308,Y,1,7,10,,1,1,6,12,1,01100170112607
20,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1284,Directly funded,Y,K,8,261,203,2,0,0,137,223,120,234,Y,1,6,10,,1,1,14,8,1,01100170123968
20,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,487,77,0,0,0,52,77,33,96,Y,1,6,10,,1,1,14,8,1,01100170124172
20,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,393,81,0,3,0,85,132,71,165,Y,1,6,10,,1,1,14,8,1,01100170125567
20,01,10017,0129403,Alameda,Alameda County Office of Education,Epic Charter,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1632,Directly funded,Y,6,8,246,196,3,0,0,113,199,113,223,Y,1,9,10,,1,1,6,8,1,01100170129403
20,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1707,Directly funded,Y,6,8,170,146,1,0,0,73,146,72,153,Y,1,9,10,,1,1,6,8,1,01100170131581
20,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,416,88,1,1,0,50,105,16,116,Y,1,12,10,,1,1,14,12,1,01100170136101
20,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Yes,1888,Locally funded,N,10,12,125,0,6,0,0,32,36,14,49,Y,1,3,4,,2,0,10,12,1,01100170136226
20,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,,Yes,1908,Directly funded,Y,6,8,112,88,0,8,0,52,93,26,95,Y,1,10,10,,1,1,6,8,1,01100170137448
20,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,2027,Directly funded,Y,K,6,89,62,0,0,0,21,63,32,66,Y,1,6,10,,1,1,14,6,1,01100170138867
20,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,0740,Directly funded,Y,P,5,585,468,1,8,0,283,480,260,522,Y,1,6,10,,1,1,15,5,1,01100176001788
20,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1464,Directly funded,Y,K,8,481,342,2,5,6,186,379,225,418,Y,1,6,10,,1,1,14,8,1,01100176002000
20,01,61119,0000000,Alameda,Alameda Unified,,Unified School District,,,,,,,,,,9372,2370,14,48,0,1735,2422,1121,2936,Y,,,,,,,,,1,01611190000000
20,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,1066,Directly funded,Y,K,12,610,211,1,16,0,146,238,92,275,Y,1,12,10,,1,1,14,12,1,01611190119222
20,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Yes,1181,Directly funded,Y,6,8,476,246,0,6,0,127,246,59,255,Y,1,9,10,,1,1,6,8,1,01611190122085
20,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Yes,0352,Directly funded,Y,6,12,358,85,1,7,0,76,111,40,127,Y,1,12,10,,1,1,6,12,1,01611190130609
20,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,171,159,1,1,0,61,160,97,165,Y,1,7,10,,1,1,9,12,1,01611190130625
20,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,,Yes,1718,Directly funded,Y,K,5,298,140,0,1,0,53,140,46,153,Y,1,6,10,,1,1,14,5,1,01611190131805
20,01,61127,0000000,Alameda,Albany City Unified,,Unified School District,,,,,,,,,,3586,590,1,5,0,422,635,507,960,Y,,,,,,,,,1,01611270000000
20,01,61143,0000000,Alameda,Berkeley Unified,,Unified School District,,,,,,,,,,9844,2615,21,221,0,1625,2673,813,3020,Y,,,,,,,,,1,01611430000000
20,01,61150,0000000,Alameda,Castro Valley Unified,,Unified School District,,,,,,,,,,9321,2028,13,93,0,1290,2036,1067,2619,Y,,,,,,,,,1,01611500000000
20,01,61168,0000000,Alameda,Emery Unified,,Unified School District,,,,,,,,,,721,503,0,12,0,290,507,155,548,Y,,,,,,,,,1,01611680000000
20,01,61176,0000000,Alameda,Fremont Unified,,Unified School District,,,,,,,,,,35046,6657,26,202,70,3350,6710,4419,9410,Y,,,,,,,,,1,01611760000000
20,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Yes,0152,Locally funded,Y,K,12,385,118,1,2,0,94,145,41,162,Y,1,12,10,,2,1,14,12,1,01611760130534
20,01,61192,0000000,Alameda,Hayward Unified,,Unified School District,,,,,,,,,,19801,13847,57,711,443,7089,14004,5954,15217,Y,,,,,,,,,1,01611920000000
20,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Yes,0684,Directly funded,Y,9,12,601,350,0,0,0,116,351,48,364,Y,1,7,10,,1,1,9,12,1,01611920108670
20,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Yes,1067,Directly funded,Y,1,8,274,22,0,1,0,39,57,23,70,Y,1,6,10,,1,1,1,8,1,01611920119248
20,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Yes,1514,Directly funded,Y,K,8,584,261,0,0,0,178,305,231,391,Y,1,6,10,,1,1,14,8,1,01611920127696
20,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,Not Participating,Yes,1543,Directly funded,Y,9,12,219,122,0,1,2,56,125,31,129,Y,1,7,10,,1,1,9,12,1,01611920127944
20,01,61192,0137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,K-12 Schools (Public),Traditional,,Yes,0836,Directly funded,Y,6,12,844,468,0,0,0,231,504,114,532,Y,1,12,10,,1,1,6,12,1,01611920137646
