year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,143,117,0,0,4,0,70,128,85,140,Y,1,7,10,,1,1,9,12,1,01100170130625
23,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,Provision 2,Yes,1908,Directly funded,Y,6,8,146,122,0,0,0,0,85,125,41,131,Y,1,10,10,5,1,1,6,8,1,01100170137448
23,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,1284,Directly funded,Y,K,8,183,76,0,0,1,0,111,139,93,160,Y,1,6,10,2,1,1,14,8,1,01100170123968
23,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,494,101,0,0,3,0,91,134,21,141,Y,1,12,10,,1,1,14,12,1,01100170136101
23,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,0740,Directly funded,Y,P,5,483,437,1,0,2,1,281,440,272,460,Y,1,6,10,2,1,1,15,5,1,01100176001788
23,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0811,Directly funded,Y,4,12,272,215,1,0,0,0,149,218,54,224,Y,1,12,10,,1,1,4,12,1,01100170112607
23,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,2027,Directly funded,Y,K,6,150,63,0,0,3,0,50,63,50,90,Y,1,6,10,,1,1,14,6,1,01100170138867
23,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,1464,Directly funded,Y,K,8,463,403,0,0,1,0,245,404,235,427,Y,1,6,10,2,1,1,14,8,1,01100176002000
23,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,1707,Directly funded,Y,6,8,59,0,0,0,0,0,26,26,32,45,Y,1,9,10,5,1,1,6,8,1,01100170131581
23,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Yes,1888,Locally funded,N,10,12,166,10,12,0,23,0,78,92,34,113,Y,1,3,4,,2,0,10,12,1,01100170136226
