year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0811,Directly funded,Y,6,12,412,276,4,0,0,170,295,70,308,Y,1,7,10,,1,1,6,12,1,01100170112607
20,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1284,Directly funded,Y,K,8,261,203,2,0,0,137,223,120,234,Y,1,6,10,,1,1,14,8,1,01100170123968
20,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,487,77,0,0,0,52,77,33,96,Y,1,6,10,,1,1,14,8,1,01100170124172
20,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,393,81,0,3,0,85,132,71,165,Y,1,6,10,,1,1,14,8,1,01100170125567
20,01,10017,0129403,Alameda,Alameda County Office of Education,Epic Charter,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1632,Directly funded,Y,6,8,246,196,3,0,0,113,199,113,223,Y,1,9,10,,1,1,6,8,1,01100170129403
20,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No,,,N,K,12,73,0,15,13,0,34,48,9,73,Y,0,11,7,,,0,14,12,1,01100170130401
20,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,No,,,N,K,12,141,73,5,2,0,84,123,35,126,Y,0,3,4,,,0,14,12,1,01100170130419
20,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1707,Directly funded,Y,6,8,170,146,1,0,0,73,146,72,153,Y,1,9,10,,1,1,6,8,1,01100170131581
20,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,416,88,1,1,0,50,105,16,116,Y,1,12,10,,1,1,14,12,1,01100170136101
20,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Yes,1888,Locally funded,N,10,12,125,0,6,0,0,32,36,14,49,Y,1,3,4,,2,0,10,12,1,01100170136226
20,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,,Yes,1908,Directly funded,Y,6,8,112,88,0,8,0,52,93,26,95,Y,1,10,10,,1,1,6,8,1,01100170137448
20,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,2027,Directly funded,Y,K,6,89,62,0,0,0,21,63,32,66,Y,1,6,10,,1,1,14,6,1,01100170138867
20,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,0740,Directly funded,Y,P,5,585,468,1,8,0,283,480,260,522,Y,1,6,10,,1,1,15,5,1,01100176001788
20,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1464,Directly funded,Y,K,8,481,342,2,5,6,186,379,225,418,Y,1,6,10,,1,1,14,8,1,01100176002000
20,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,37,4,2,0,0,9,10,3,11,Y,,,,,,,,,1,01611190000001
20,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,No,,,N,9,12,185,59,0,1,0,47,59,11,61,Y,0,1,1,,,0,9,12,1,01611190106401
20,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,471,266,2,11,0,193,275,124,307,Y,0,6,10,,,0,14,5,1,01611190111765
20,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,1066,Directly funded,Y,K,12,610,211,1,16,0,146,238,92,275,Y,1,12,10,,1,1,14,12,1,01611190119222
20,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Yes,1181,Directly funded,Y,6,8,476,246,0,6,0,127,246,59,255,Y,1,9,10,,1,1,6,8,1,01611190122085
20,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,Not Participating,No,,,N,9,12,1777,340,2,6,0,264,355,113,408,Y,0,7,10,,,0,9,12,1,01611190130229
20,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Yes,0352,Directly funded,Y,6,12,358,85,1,7,0,76,111,40,127,Y,1,12,10,,1,1,6,12,1,01611190130609
20,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,171,159,1,1,0,61,160,97,165,Y,1,7,10,,1,1,9,12,1,01611190130625
20,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,,Yes,1718,Directly funded,Y,K,5,298,140,0,1,0,53,140,46,153,Y,1,6,10,,1,1,14,5,1,01611190131805
20,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,,No,,,N,6,12,1225,468,4,5,0,321,472,140,532,Y,0,12,10,,,0,6,12,1,01611190132142
20,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,No,,,N,9,12,84,45,0,5,0,38,45,12,47,Y,0,2,3,,,0,9,12,1,01611190134304
20,01,61119,0139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,,No,,,N,K,5,449,110,0,1,0,75,111,47,136,Y,0,6,10,,,0,14,5,1,01611190139220
20,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,467,54,0,1,0,39,54,45,76,Y,0,6,10,,,0,14,5,1,01611196090013
20,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,638,93,0,0,0,73,93,67,137,Y,0,6,10,,,0,14,5,1,01611196090021
20,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,320,46,0,0,0,39,48,35,65,Y,0,6,10,,,0,14,5,1,01611196090039
20,01,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,550,222,1,4,0,162,226,134,275,Y,0,6,10,,,0,14,5,1,01611196090047
20,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No,,,N,6,8,881,126,0,1,0,90,128,58,161,Y,0,9,10,,,0,6,8,1,01611196090054
20,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No,,,N,6,8,609,251,3,8,0,183,253,115,298,Y,0,9,10,,,0,6,8,1,01611196090112
20,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,421,171,0,3,0,120,172,96,203,Y,0,6,10,,,0,14,5,1,01611196090120
20,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,652,59,0,2,0,41,62,76,122,Y,0,6,10,,,0,14,5,1,01611196100374
20,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,8,606,56,0,0,0,41,59,45,97,Y,0,6,10,,,0,14,8,1,01611196110779
20,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,11,0,0,0,0,1,1,1,1,Y,,,,,,,,,1,01611270000001
20,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No,,,N,10,12,3,1,0,0,0,1,1,0,1,Y,0,2,3,,,0,10,12,1,01611270130294
20,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,Not Participating,No,,,N,9,12,1157,156,0,2,0,106,173,75,215,Y,0,7,10,,,0,9,12,1,01611270130450
20,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,534,59,0,0,0,42,63,93,130,Y,0,6,10,,,0,14,5,1,01611276090146
20,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No,,,N,6,8,849,137,0,1,0,102,150,91,206,Y,0,9,10,,,0,6,8,1,01611276090161
20,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,505,83,0,1,0,56,86,103,156,Y,0,6,10,,,0,14,5,1,01611276095376
20,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,527,154,1,1,0,114,161,144,251,Y,0,6,10,,,0,14,5,1,01611276116222
20,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,,,,,,,,,,43,2,1,2,0,11,12,4,16,Y,,,,,,,,,1,01611430000001
20,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,Not Participating,No,,,N,9,12,3255,771,9,76,0,501,796,185,887,Y,0,7,10,,,0,9,12,1,01611430131177
20,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,Not Participating,No,,,N,10,12,53,35,1,8,0,27,38,5,38,Y,0,2,3,,,0,10,12,1,01611430134924
20,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No,,,N,6,8,983,225,1,23,0,123,229,65,250,Y,0,9,10,,,0,6,8,1,01611436056857
20,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No,,,N,6,8,701,203,1,17,0,108,206,38,219,Y,0,9,10,,,0,6,8,1,01611436056865
20,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,451,83,0,5,0,55,84,32,96,Y,0,6,10,,,0,14,5,1,01611436090187
20,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,356,98,2,12,0,63,99,22,109,Y,0,6,10,,,0,14,5,1,01611436090195
20,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,317,89,1,9,0,59,89,24,96,Y,0,6,10,,,0,14,5,1,01611436090211
20,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,443,93,0,7,0,63,93,32,106,Y,0,6,10,,,0,14,5,1,01611436090252
20,01,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,385,107,0,8,0,64,109,63,136,Y,0,6,10,,,0,14,5,1,01611436090278
20,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,552,153,2,11,0,101,155,31,165,Y,0,6,10,,,0,14,5,1,01611436090286
20,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No,,,N,6,8,503,267,1,16,0,150,270,91,296,Y,0,9,10,,,0,6,8,1,01611436090294
20,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,263,80,0,6,0,40,80,25,89,Y,0,6,10,,,0,14,5,1,01611436090302
20,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,390,118,1,5,0,63,118,72,148,Y,0,6,10,,,0,14,5,1,01611436090310
20,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No,,,N,K,5,425,88,0,6,0,60,90,64,129,Y,0,6,10,,,0,14,5,1,01611436090328
