year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,N,,,N,K,12,105,74,3,0,1,0,68,80,28,86,Y,,3,4,,,0,14,12,1,01100170130419
21,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,K,12,52,16,4,0,11,0,25,31,9,52,Y,,11,7,,,0,14,12,1,01100170130401
21,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,,Y,1908,Directly funded,Y,6,8,197,142,1,0,8,0,106,146,53,172,Y,,10,10,,1,1,6,8,1,01100170137448
21,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1284,Directly funded,Y,K,8,253,93,1,0,3,0,140,176,132,210,Y,,6,10,,1,1,14,8,1,01100170123968
21,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,1881,Directly funded,Y,K,12,534,128,0,0,2,0,88,146,16,153,Y,,12,10,,1,1,14,12,1,01100170136101
21,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,0740,Directly funded,Y,P,5,581,508,7,0,5,0,301,516,279,536,Y,,6,10,,1,1,15,5,1,01100176001788
21,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Y,0811,Directly funded,Y,6,12,408,310,4,0,0,0,182,317,70,328,Y,,7,10,,1,1,6,12,1,01100170112607
21,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,2027,Directly funded,Y,K,6,114,61,0,0,0,0,33,61,39,77,Y,,6,10,,1,1,14,6,1,01100170138867
21,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1464,Directly funded,Y,K,8,485,442,2,0,5,0,220,442,235,455,Y,,6,10,,1,1,14,8,1,01100176002000
21,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Y,1707,Directly funded,Y,6,8,145,118,0,0,0,0,64,124,62,128,Y,,9,10,,1,1,6,8,1,01100170131581
